time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE
21:36:15,1500.0,-130.57142857142858,-81.85714285714286,-987.1428571428571,-14.857142857142858,12.285714285714286,1.8571428571428572,-35.362814542857144,149.16609497142858,50027.142857142855,371.2857142857143,581.2857142857143,1.8571428571428572,0.07896972660507474,-0.12797698272126062,1.0294030223573958,-0.015987095023904527,0.010436742500002896,0.0009532306243532471,AUTO
21:36:17,1500.0,-134.0,-75.83333333333333,-985.3333333333334,-8.5,-9.333333333333334,7.166666666666667,-35.36274891666667,149.16622165,50032.166666666664,369.3333333333333,578.0,2.5,0.08096081639329593,-0.12302750845750172,1.0256053407986958,-0.008941381548841795,-0.011267592703613142,0.0062908657516042394,AUTO
21:36:19,1500.0,-134.5,-76.33333333333333,-989.1666666666666,31.833333333333332,8.666666666666666,-6.0,-35.36268558333334,149.16634228333334,50031.0,363.5,579.0,2.6666666666666665,0.08709153532981873,-0.12747218956549963,1.0221151113510132,0.03045481121322761,0.006852171228577693,-0.007297892220473538,BRAKE
21:36:22,1500.0,-30.333333333333332,-17.666666666666668,-1005.6666666666666,-464.6666666666667,-125.66666666666667,-13.333333333333334,-35.36261416666667,149.16648540000003,50090.666666666664,68.0,132.33333333333334,15.666666666666666,0.0016050453608234723,0.07545418913165729,1.0486210982004802,-0.4728470966219902,-0.12784923116366068,-0.015068549352387587,BRAKE
21:36:25,1500.0,-11.666666666666666,-33.833333333333336,-911.5,-89.66666666666667,-11.0,19.333333333333332,-35.362601919999996,149.16651124,49890.6,44.4,44.2,42.4,0.004566761665046215,0.0014107259223237634,1.0474835872650146,-0.23265480995178223,-0.01852279659360647,0.02338076198939234,AUTO
21:36:31,1500.0,-82.0,-47.25,-1010.25,18.5,41.75,-7.75,-35.3625548,149.16659756666664,48385.0,245.0,335.0,-20.333333333333332,0.06600801770885785,-0.15101240078608194,1.0044819513956706,0.04994442810614904,0.03749856228629748,-0.010820009435216585,AUTO
21:36:33,1500.0,-90.5,-64.0,-995.0,-101.5,29.5,1.5,-35.36253135,149.1666396,48628.5,262.0,393.5,-25.0,0.07597269490361214,-0.12260505557060242,1.0041629672050476,-0.10140455886721611,0.02780224196612835,0.001533756876597181,AUTO
21:36:43,1500.0,-15.0,-23.25,-992.25,-460.75,5.25,4.75,-35.36240253333333,149.16689296666667,49839.0,41.0,36.666666666666664,-2.6666666666666665,0.01425491739064455,0.007121345493942499,1.0220921834309895,-0.5032054384549459,0.0040437281131744385,0.002948849694803357,ALT_HOLD
21:36:46,1500.0,-8.75,5.75,-1091.125,589.5,7.625,6.0,-35.362392125,149.16689848750002,47985.5,22.5,22.75,90.5,0.03387418050260749,0.005120993675518548,1.0217952579259872,0.5924380272626877,0.004998213844373822,0.004885836257017218,AUTO
21:36:48,1500.0,-7.5,-12.833333333333334,-1034.3333333333333,-79.33333333333333,23.166666666666668,165.66666666666666,-35.36238938333333,149.16690711666666,47710.666666666664,13.333333333333334,42.833333333333336,-56.5,-0.001462357254543652,-0.002348592951117704,1.1299275755882263,-0.07972360185037057,0.021260233984018367,0.16459397595220557,AUTO
