time_stamp,RTL_ALT,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,VFR_HUD_alt,xacc,yacc,zacc,xgyro,ygyro,zgyro,EK2_ALT_SOURCE
10:14:18,1500.0,0.010985214728862047,-0.001418897940311581,-0.06475618481636047,0.32340556383132935,-0.0011425201955717057,-0.0008902248227968812,627810.0,-35.3632785,149.16511335,43836.0,1.0,8.0,-38.0,AUTO,627.8099975585938,0.0,12.5,-1002.0,323.5,-0.5,0.0,0.0
10:14:22,1500.0,-0.01499574864283204,-3.7777111856485135e-05,-0.07268079370260239,-0.8908142447471619,-0.0010206218576058745,-0.0015492754173465073,629320.0,-35.3632785,149.165113,45341.5,0.0,5.5,24.0,ALT_HOLD,629.3199768066406,-0.5,-24.5,-843.0,-888.5,-0.5,0.0,0.0
10:14:24,1500.0,0.01420727209188044,-0.00022426453506341204,-0.07650760561227798,-0.755904033780098,-0.0002350792638026178,-0.03283662721514702,626375.0,-35.3632786,149.16511285,42400.5,-0.5,2.5,189.5,ALT_HOLD,626.375,2.5,-90.5,-971.5,-758.0,1.0,-31.0,0.0
10:14:26,1500.0,-0.015510465949773788,-0.0006102666957303882,-0.07859186455607414,-1.1309714913368225,-0.0021091542876092717,0.013887293636798859,622695.0,-35.3632786,149.16511645,38720.5,3.0,20.5,172.0,AUTO,622.6949768066406,3.0,-8.0,-983.0,-1126.5,-1.0,15.0,0.0
10:14:28,1500.0,0.0036738559138029814,-0.0034440041054040194,-0.08189075067639351,-0.03794965147972107,-0.00220643071224913,0.0011026710853911936,621875.0,-35.3632785,149.1651185,37898.5,1.0,3.0,-45.0,AUTO,621.875,-2.0,7.0,-1048.5,-36.0,-1.5,2.0,0.0
10:14:30,1500.0,0.01708016637712717,-0.001447187503799796,-0.08420944213867188,0.0013603344559669495,0.001397460582666099,0.00013639999087899923,623480.0,-35.3632785,149.16511695,39502.0,2.0,14.5,-84.5,AUTO,623.47998046875,0.0,-1.0,-990.5,3.0,2.0,1.0,0.0
10:14:32,1500.0,-0.00013841254985891283,4.071618513989961e-05,-0.08602307736873627,0.08327535912394524,0.00021889657364226878,-0.0009407091420143843,624940.0,-35.363278050000005,149.1651172,40964.0,1.0,10.5,-13.0,ALT_HOLD,624.9399719238281,0.0,0.5,-856.0,85.0,0.5,0.5,0.0
10:14:34,1500.0,0.028936480171978474,5.602537021331955e-05,-0.08902139589190483,1.9406026005744934,0.007893443340435624,0.010987187211867422,622360.0,-35.363277350000004,149.16511595,38382.5,-0.5,3.0,196.0,ALT_HOLD,622.3599853515625,-4.5,80.0,-1033.0,1942.5,8.5,12.0,0.0
10:14:40,1500.0,-0.019168853759765625,0.001375063438899815,-0.09114504233002663,-0.044526396319270134,-0.0005802620144095272,-0.001397237356286496,618605.0,-35.3632778,149.16511029999998,34632.5,0.0,1.5,-112.5,AUTO,618.60498046875,3.0,-6.5,-1046.5,-41.5,0.5,0.5,0.0
10:14:48,1500.0,0.12428529933094978,0.0031695542857050896,-0.2187250331044197,-0.01124625839293003,-0.13385871052742004,0.09196846187114716,630590.0,-35.36329245,149.16509630000002,46615.5,-97.0,34.0,-149.0,AUTO,630.5899658203125,18.5,13.0,-999.5,-9.0,-132.0,93.0,0.0
