,A.BRAKE1
18:36:23.448,-1
18:36:23.701,-1
18:36:23.923,-1
18:36:24.137,-1
18:36:24.363,-1
18:36:24.568,-1
18:36:24.771,-1
18:36:24.972,-1
18:36:25.174,-1
18:36:25.383,-1
18:36:25.588,-1
18:36:25.801,-1
18:36:26.004,-1
18:36:26.207,-1
18:36:26.411,-1
18:36:26.614,-1
18:36:26.815,-1
18:36:27.020,-1
18:36:27.227,-1
18:36:27.429,-1
18:36:27.634,-1
18:36:27.839,-1
18:36:28.041,-1
18:36:28.244,-1
18:36:28.465,-1
18:36:28.666,-1
18:36:28.868,-1
18:36:29.079,-1
18:36:29.293,-1
18:36:29.495,-1
18:36:29.697,-1
18:36:29.901,-1
18:36:30.104,-1
18:36:30.306,-1
18:36:30.508,-1
18:36:30.710,-1
18:36:30.912,-1
18:36:31.114,-1
18:36:31.318,-1
18:36:31.520,-1
18:36:31.723,-1
18:36:31.929,-1
18:36:32.132,-1
18:36:32.334,-1
18:36:32.541,-1
18:36:32.743,-1
18:36:32.948,-1
18:36:33.150,-1
18:36:33.357,-1
18:36:33.559,-1
18:36:33.762,-1
18:36:33.965,-1
18:36:34.166,-1
18:36:34.367,-1
18:36:34.570,-1
18:36:34.772,-1
18:36:34.974,-1
18:36:35.178,-1
18:36:35.383,-1
18:36:35.588,-1
18:36:35.790,-1
18:36:35.995,-1
18:36:36.201,-1
18:36:36.403,-1
18:36:36.606,-1
18:36:36.811,-1
18:36:37.013,-1
18:36:37.214,-1
18:36:37.417,-1
18:36:37.619,-1
18:36:37.821,-1
18:36:38.025,-1
18:36:38.229,-1
18:36:38.431,-1
18:36:38.633,-1
18:36:38.836,-1
18:36:39.039,-1
18:36:39.250,1
18:36:39.453,1
18:36:39.657,1
18:36:39.862,1
18:36:40.064,1
18:36:40.275,1
18:36:40.484,1
18:36:40.686,1
18:36:40.889,-1
18:36:41.092,-1
18:36:41.295,-1
18:36:41.500,-1
18:36:41.703,-1
18:36:41.904,-1
18:36:42.113,-1
18:36:42.315,-1
18:36:42.516,-1
18:36:42.718,-1
18:36:42.920,-1
18:36:43.122,-1
18:36:43.325,-1
18:36:43.548,-1
18:36:43.844,-1
18:36:44.049,-1
18:36:44.266,-1
18:36:44.487,-1
18:36:44.699,-1
18:36:44.901,-1
18:36:45.103,-1
18:36:45.304,-1
18:36:45.507,-1
18:36:45.711,-1
18:36:45.913,-1
18:36:46.117,-1
18:36:46.319,-1
18:36:46.523,-1
18:36:46.729,-1
18:36:46.931,-1
18:36:47.134,-1
18:36:47.338,-1
18:36:47.546,-1
18:36:47.748,-1
18:36:47.955,-1
18:36:48.158,-1
18:36:48.376,-1
18:36:48.588,-1
18:36:48.826,-1
18:36:52.612,-1
18:36:52.817,-1
18:36:53.026,-1
18:36:53.228,-1
18:36:53.439,-1
18:36:53.642,-1
18:36:53.844,-1
18:36:54.046,-1
18:36:54.247,-1
18:36:54.450,-1
18:36:54.652,-1
18:36:54.855,-1
18:36:55.056,-1
18:36:55.259,-1
18:36:55.465,-1
18:36:55.667,-1
18:36:55.869,-1
18:36:56.071,-1
18:36:56.275,-1
18:36:56.479,-1
18:36:56.686,-1
18:36:56.914,-1
18:36:57.149,-1
18:36:57.390,-1
18:36:57.602,-1
18:36:57.805,-1
18:36:58.018,-1
18:36:58.228,-1
18:36:58.429,-1
18:36:58.633,-1
18:36:58.835,-1
18:36:59.038,-1
18:36:59.241,-1
18:36:59.446,-1
18:36:59.655,-1
18:36:59.856,-1
18:37:00.059,-1
18:37:00.274,-1
18:37:00.475,-1
18:37:00.680,-1
18:37:00.885,-1
18:37:01.087,-1
18:37:01.291,-1
18:37:01.495,-1
18:37:01.696,-1
18:37:01.902,-1
18:37:02.106,-1
18:37:02.309,-1
18:37:02.514,-1
18:37:02.717,-1
18:37:02.925,-1
18:37:03.129,-1
18:37:03.334,-1
18:37:03.536,-1
18:37:03.738,-1
18:37:03.940,-1
18:37:04.142,-1
18:37:04.345,-1
18:37:04.550,-1
18:37:04.754,-1
18:37:04.955,-1
18:37:05.157,-1
18:37:05.370,-1
18:37:05.639,-1
18:37:05.862,-1
18:37:06.096,-1
18:37:06.313,-1
18:37:06.543,-1
18:37:06.748,-1
18:37:06.963,-1
18:37:07.169,-1
18:37:07.378,-1
18:37:07.580,-1
18:37:07.782,-1
18:37:07.986,-1
18:37:08.190,-1
18:37:08.393,-1
18:37:08.595,-1
18:37:08.798,-1
18:37:08.999,-1
18:37:09.206,-1
18:37:09.411,-1
18:37:09.616,-1
18:37:09.819,-1
18:37:10.022,-1
18:37:10.224,-1
18:37:10.428,-1
18:37:10.630,-1
18:37:10.834,-1
18:37:11.038,-1
18:37:11.244,-1
18:37:11.447,-1
18:37:11.649,-1
18:37:11.850,-1
18:37:12.053,-1
18:37:12.260,-1
18:37:12.481,-1
18:37:12.797,-1
18:37:13.020,-1
18:37:13.255,-1
18:37:13.503,-1
18:37:13.720,-1
18:37:13.922,-1
18:37:14.127,-1
18:37:14.330,-1
18:37:14.531,-1
18:37:14.734,-1
18:37:14.935,-1
18:37:15.138,-1
18:37:15.340,-1
18:37:15.543,-1
18:37:15.746,-1
18:37:15.948,-1
18:37:16.151,-1
18:37:16.353,-1
18:37:16.554,-1
18:37:16.759,-1
18:37:16.961,-1
18:37:17.168,-1
18:37:17.427,-1
18:37:17.654,-1
18:37:17.901,-1
18:37:18.109,-1
18:37:18.311,-1
18:37:18.535,-1
18:37:18.736,-1
18:37:18.940,-1
18:37:19.142,-1
18:37:19.347,-1
18:37:19.549,-1
18:37:19.751,-1
18:37:19.955,-1
18:37:20.157,-1
18:37:20.361,-1
18:37:20.562,-1
18:37:20.766,-1
18:37:20.969,-1
18:37:21.173,-1
18:37:21.378,-1
18:37:21.580,-1
18:37:21.783,-1
18:37:21.988,-1
18:37:22.209,-1
18:37:22.416,-1
18:37:22.659,-1
18:37:22.861,-1
18:37:23.074,-1
18:37:23.290,-1
18:37:23.496,-1
18:37:23.699,-1
18:37:23.905,-1
18:37:24.114,-1
18:37:24.316,-1
18:37:24.519,-1
18:37:24.722,-1
18:37:24.926,-1
18:37:25.129,-1
18:37:25.333,-1
18:37:25.538,-1
18:37:25.747,-1
18:37:25.952,-1
18:37:26.155,-1
18:37:26.358,-1
18:37:26.568,-1
18:37:26.773,-1
18:37:26.974,-1
18:37:27.177,-1
18:37:27.381,-1
18:37:27.587,-1
18:37:27.791,-1
18:37:27.996,-1
18:37:28.206,-1
18:37:28.408,-1
18:37:28.617,-1
18:37:28.819,-1
18:37:29.030,-1
18:37:29.231,-1
18:37:29.435,-1
18:37:29.640,-1
18:37:29.844,-1
18:37:30.046,-1
18:37:30.249,-1
18:37:30.453,-1
18:37:30.658,-1
18:37:30.861,-1
18:37:31.068,-1
18:37:31.270,-1
18:37:31.472,-1
18:37:31.674,-1
18:37:31.876,-1
18:37:32.082,-1
18:37:32.284,-1
18:37:32.486,-1
18:37:32.692,-1
18:37:32.893,-1
18:37:33.097,-1
18:37:33.301,-1
18:37:33.507,-1
18:37:33.709,-1
18:37:33.912,-1
18:37:34.115,-1
18:37:34.317,-1
18:37:34.522,-1
18:37:34.724,-1
18:37:34.928,-1
18:37:35.131,1
18:37:35.333,1
18:37:35.538,1
18:37:35.748,1
18:37:35.961,1
18:37:36.186,1
18:37:36.393,1
18:37:36.634,1
18:37:36.872,1
18:37:37.095,-1
18:37:37.319,-1
18:37:37.527,-1
18:37:37.774,-1
18:37:37.989,-1
18:37:38.192,-1
18:37:38.396,-1
18:37:38.599,-1
18:37:38.803,-1
18:37:39.006,-1
18:37:39.209,-1
18:37:39.414,-1
18:37:39.618,-1
18:37:39.820,-1
18:37:45.296,-1
18:37:45.501,-1
18:37:45.702,-1
18:37:45.909,-1
18:37:46.111,-1
18:37:46.317,-1
18:37:46.518,-1
18:37:46.720,-1
18:37:46.934,-1
18:37:47.146,-1
18:37:47.450,-1
18:37:47.699,-1
18:37:47.923,-1
18:37:48.128,-1
18:37:48.346,-1
18:37:48.562,-1
18:37:48.786,-1
18:37:49.002,-1
18:37:49.221,-1
18:37:49.423,-1
18:37:49.628,-1
18:37:49.831,-1
18:37:50.033,-1
18:37:50.234,-1
18:37:50.437,-1
18:37:50.640,-1
18:37:50.842,1
18:37:51.045,1
18:37:51.247,1
18:37:51.450,1
18:37:51.652,1
18:37:51.858,1
18:37:52.063,1
18:37:52.274,1
18:37:52.497,1
18:37:52.711,1
18:37:52.989,-1
18:37:53.195,-1
18:37:53.405,-1
18:37:53.613,-1
18:37:53.834,-1
18:37:54.054,-1
18:37:54.259,-1
18:37:54.462,-1
18:37:54.668,-1
18:37:54.870,-1
18:37:55.077,-1
18:37:55.281,-1
18:37:55.484,-1
18:37:55.686,-1
18:37:55.887,-1
18:37:56.089,-1
18:37:56.292,-1
18:37:56.498,-1
18:37:56.700,-1
18:37:56.903,-1
18:37:57.105,-1
18:37:57.308,-1
18:37:57.518,-1
18:37:57.720,-1
18:37:57.921,-1
18:37:58.125,-1
18:37:58.327,-1
18:37:58.538,-1
18:37:58.762,-1
18:37:58.968,-1
18:37:59.259,-1
18:37:59.521,-1
18:37:59.722,-1
18:37:59.926,-1
18:38:00.131,-1
18:38:00.333,-1
18:38:00.535,-1
18:38:00.740,-1
18:38:00.942,-1
18:38:01.144,-1
18:38:01.346,-1
18:38:01.547,-1
18:38:01.750,-1
18:38:01.956,-1
18:38:02.163,-1
18:38:02.367,-1
18:38:02.569,-1
18:38:02.782,-1
18:38:02.997,-1
18:38:03.199,-1
18:38:03.487,-1
18:38:03.705,-1
18:38:03.912,-1
18:38:04.114,-1
18:38:04.316,-1
18:38:04.520,-1
18:38:04.723,-1
18:38:04.928,-1
18:38:05.132,-1
18:38:05.338,-1
18:38:05.541,-1
18:38:05.746,-1
18:38:05.948,-1
18:38:06.157,-1
18:38:06.360,-1
18:38:06.563,-1
18:38:06.764,-1
18:38:06.965,-1
18:38:07.171,-1
18:38:07.381,-1
18:38:07.593,-1
18:38:07.852,-1
18:38:08.058,-1
18:38:08.282,-1
18:38:08.495,-1
18:38:08.705,-1
18:38:08.920,-1
18:38:09.123,-1
18:38:09.328,-1
18:38:09.530,-1
18:38:09.732,-1
18:38:09.933,-1
18:38:10.140,-1
18:38:10.341,-1
18:38:10.544,-1
18:38:10.748,-1
