time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro
21:16:52,1500.0,-35.36285298333333,149.16601336666668,38253.666666666664,95.5,138.0,-16.833333333333332,AUTO,0.022081708380331595,-0.1308346651494503,1.009312351544698,-0.03832982977231344,-0.04339487850666046,0.001294642958479623,-32.666666666666664,-24.333333333333332,-1017.3333333333334,-39.0,-40.666666666666664,2.3333333333333335
21:16:54,1500.0,-35.36281565,149.1660814,39087.0,225.0,366.5,-47.5,AUTO,0.06392080709338188,-0.1951974406838417,1.0017990469932556,0.0030478890985250473,-0.018585299607366323,0.008993358351290226,-84.5,-46.5,-1012.5,2.0,-15.5,10.0
21:16:56,1500.0,-35.3627652,149.1661771,40336.5,302.5,481.0,-67.5,AUTO,0.09800747409462929,-0.14523839205503464,0.8295929729938507,0.032487682066857815,-0.06127484608441591,-0.20245875418186188,-94.5,-77.5,-978.0,31.5,-58.5,-200.5
21:16:58,1500.0,-35.36271848333333,149.16626465000002,40841.5,357.8333333333333,582.3333333333334,-26.333333333333332,AUTO,0.1722205008069674,-0.11708707859118779,0.5392172932624817,-0.015697571448981762,0.09022968324522178,-0.08788657188415527,-78.33333333333333,-124.16666666666667,-1018.1666666666666,-15.666666666666666,92.33333333333333,-86.5
21:17:05,1500.0,-35.362566799999996,149.16656475000002,44045.0,355.0,575.5,-59.0,AUTO,0.1328696310520172,-0.10462671518325806,0.6922641098499298,0.027227359358221292,0.0032782023772597313,0.03406764939427376,-93.66666666666667,-113.66666666666667,-986.6666666666666,16.666666666666668,7.333333333333333,30.666666666666668
21:17:07,1500.0,-35.362513075,149.16666836249996,45033.875,354.375,583.75,-62.5,AUTO,0.12004497274756432,-0.0967873646877706,0.7471885159611702,-0.007855308474972844,0.04780025401851162,0.01981143347802572,-108.125,-113.125,-1012.5,-7.0,49.75,20.5
21:17:09,1500.0,-35.36244861666667,149.16679638333332,47210.666666666664,282.6666666666667,477.3333333333333,-134.83333333333334,AUTO,0.07096534594893456,0.004140889466119309,0.8050584395726522,-0.010740704485215247,0.018094522257645924,0.05184387043118477,-91.33333333333333,-88.33333333333333,-1013.6666666666666,-9.5,20.166666666666668,52.5
21:17:11,1500.0,-35.3624089,149.16688458333334,49583.666666666664,156.33333333333334,306.3333333333333,-63.833333333333336,BRAKE,0.05643187820290526,0.1007894491776824,1.2077461679776509,0.16042739897966385,0.18580344567696253,0.03248954987308631,-72.83333333333333,-34.666666666666664,-951.8333333333334,161.66666666666666,187.33333333333334,34.0
21:17:13,1500.0,-35.36239388,149.16691834,49962.8,53.2,62.0,1.8,BRAKE,0.01919169994071126,0.02571447050431743,1.168278956413269,0.36089148819446565,-0.0961419552564621,0.0010680364212021232,-18.2,-3.0,-1007.0,360.4,-93.4,2.4
21:17:14,1500.0,-35.36238804,149.16693003999998,50035.8,29.6,48.2,-3.6,ALT_HOLD,0.01667886637151241,-0.006089508580043912,1.1466781616210937,-0.0928928554058075,-0.006947340071201324,-0.017749653570353983,-13.2,-7.2,-993.0,-91.0,-5.0,-15.4
21:17:16,1500.0,-35.3623835,149.16693971666666,48933.333333333336,26.833333333333332,39.666666666666664,148.5,AUTO,0.010612251392255226,-0.0013122685874501865,1.125062068303426,0.13106040159861246,0.016451010247692466,-0.017191514372825623,-10.333333333333334,-20.0,-915.1666666666666,129.5,18.833333333333332,-15.166666666666666
21:17:21,1500.0,-35.362380599999995,149.1669352166667,48073.833333333336,-22.0,-39.166666666666664,-79.66666666666667,AUTO,0.0037061502710760883,0.005909591059510906,0.44857327702144784,-0.014088240762551626,-0.0008965923528497418,-0.7822257777055105,-0.5,8.666666666666666,-1006.5,-13.0,1.1666666666666667,-779.8333333333334
21:17:23,1500.0,-35.36238243333333,149.16692593333332,49687.166666666664,-40.5,-37.833333333333336,-60.333333333333336,AUTO,-0.03866221383213997,-0.0004106482471494625,-1.066751629114151,-0.08064560823064919,0.0073790378325308366,-0.7156077822049459,-11.333333333333334,3.1666666666666665,-971.5,-78.66666666666667,10.0,-712.8333333333334
21:17:25,1500.0,-35.3623948,149.1669109142857,50185.857142857145,-125.0,-96.71428571428571,9.428571428571429,AUTO,0.00850268845845546,-0.12076892810208457,-2.2632112332752774,0.012038013764790126,-0.06225561137710299,-0.24350267914789064,-33.714285714285715,-18.428571428571427,-987.0,13.428571428571429,-59.0,-241.14285714285714
