time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
08:59:14,55966.0,-35.3633154,149.1644226,213797.33333333334,1.0,1.0,-152.0,0.0,0.0,-1000.0,4.0,4.0,3.0,RTL,0.001949886519772311,0.0006474703744364282,-1.6632111469904582,0.0014419285580515862,0.0013007584493607283,0.0006558362705012163
08:59:15,55966.0,-35.3633154,149.1644226,214971.0,1.0,1.0,-152.0,0.0,0.0,-1000.0,3.3333333333333335,3.3333333333333335,3.3333333333333335,RTL,0.0019307782252629597,0.0006028192971522609,-1.6633034149805705,0.00045128151153524715,0.0006094269144038359,0.0007779762769738833
08:59:17,55966.0,-35.3633154,149.16442276666666,218072.66666666666,2.0,8.0,-151.0,0.3333333333333333,0.0,-998.6666666666666,1.0,54.0,3.0,RTL,0.001509352393137912,0.02635512314736843,-1.6633213758468628,-0.001914515703295668,0.05112426231304804,0.0003639755304902792
08:59:19,55966.0,-35.3633144,149.16443436666668,221082.33333333334,12.666666666666666,115.66666666666667,-139.33333333333334,18.666666666666668,11.0,-982.0,-28.0,63.0,39.0,RTL,-0.011458085073779026,0.10199901461601257,-1.6604777574539185,-0.031522282088796295,0.06047790000836054,0.03676919961192956
08:59:20,114483.0,-35.36331403333333,149.16445913333334,222513.0,-13.666666666666666,258.0,-72.33333333333333,51.0,15.666666666666666,-936.3333333333334,89.0,-116.0,313.6666666666667,RTL,0.005587756323317687,0.17419963081677756,-1.2649298111597698,0.08605983604987462,-0.11955673744281133,0.3111507147550583
08:59:21,114483.0,-35.36331453333333,149.16448313333333,222893.66666666666,8.333333333333334,320.0,-26.0,68.66666666666667,10.666666666666666,-941.0,35.666666666666664,0.3333333333333333,89.66666666666667,RTL,0.07795940587917964,0.11719357222318649,-1.1356565554936726,0.03303642198443413,-0.002834469157581528,0.08729610343774159
08:59:23,114483.0,-35.363305266666664,149.1645726,222626.33333333334,77.33333333333333,513.3333333333334,22.0,122.66666666666667,5.666666666666667,-1022.6666666666666,-48.0,14.0,-33.666666666666664,RTL,0.05289116129279137,0.22188988824685416,-1.1225615739822388,-0.051459431648254395,0.011204285236696402,-0.03713542285064856
08:59:25,114483.0,-35.363293133333336,149.1647044,222516.66666666666,50.666666666666664,657.3333333333334,-5.0,150.66666666666666,17.0,-995.0,-2.3333333333333335,-18.333333333333332,-35.666666666666664,RTL,-0.014690851792693138,0.1863987942536672,-1.209458629290263,-0.005808146049578984,-0.021885125587383907,-0.03933758040269216
08:59:26,43819.0,-35.3632877,149.1647971333333,222586.66666666666,42.0,679.6666666666666,-5.666666666666667,154.0,26.333333333333332,-990.6666666666666,3.6666666666666665,-29.666666666666668,-33.0,RTL,-0.02766213503976663,0.15109606087207794,-1.2551414171854656,0.0005858521908521652,-0.03332169881711403,-0.03642147903641065
08:59:27,43819.0,-35.3632847,149.1648534,222622.0,42.0,676.3333333333334,-1.0,149.33333333333334,21.666666666666668,-976.0,14.0,15.0,-29.0,RTL,-0.03209369877974192,0.14854179322719574,-1.2820732990900676,0.011129765460888544,0.012108612572774291,-0.03246881440281868
08:59:29,43819.0,-35.3632768,149.16500186666667,222641.66666666666,47.333333333333336,650.3333333333334,-5.0,152.33333333333334,31.666666666666668,-990.6666666666666,-25.0,-60.333333333333336,-18.0,RTL,-0.048636384308338165,0.09684951851765315,-1.3389275868733723,-0.02875311424334844,-0.06402278319001198,-0.021590944069127243
08:59:31,43819.0,-35.3632694,149.16512896666666,222666.0,35.333333333333336,478.6666666666667,2.6666666666666665,110.66666666666667,27.333333333333332,-995.6666666666666,-91.0,-47.0,-43.333333333333336,RTL,-0.06652029852072398,-0.004194656076530616,-1.3794751564661663,-0.09340476989746094,-0.050791176656881966,-0.046916561822096504
08:59:32,27238.0,-35.36326603333334,149.1651851,222610.0,20.666666666666668,327.6666666666667,4.666666666666667,78.33333333333333,19.333333333333332,-1008.3333333333334,191.0,-16.0,-36.333333333333336,RTL,-0.05279671400785446,-0.03957959016164144,-1.3955989281336467,0.18873392045497894,-0.019302010458583634,-0.03924323199316859
08:59:33,27238.0,-35.36326463333333,149.16520903333333,222578.0,12.666666666666666,243.33333333333334,2.0,59.666666666666664,5.333333333333333,-1011.0,-545.0,-23.666666666666668,-17.0,RTL,-0.06240517025192579,-0.055172767490148544,-1.4065694411595662,-0.5491292874018351,-0.027759260187546413,-0.020154485789438088
08:59:35,27238.0,-35.36326313333333,149.1652405,222558.33333333334,0.0,53.666666666666664,0.0,12.333333333333334,24.333333333333332,-1003.0,206.0,18.666666666666668,0.0,RTL,-0.02102818712592125,-0.051192725698153176,-1.42887278397878,0.2022575835386912,0.016225693747401237,-0.003009328773866097
08:59:37,27238.0,-35.36326346666667,149.16524396666668,222569.33333333334,2.3333333333333335,-10.0,0.0,-1.6666666666666667,-12.666666666666666,-1000.6666666666666,-158.66666666666666,32.0,-6.666666666666667,RTL,0.011046572976435224,-0.008635803824290633,-1.4447102944056194,-0.1614826520284017,0.029189043988784153,-0.010221268826474747
08:59:38,137527.0,-35.3632633,149.16524326666666,222570.66666666666,8.333333333333334,-8.0,-0.3333333333333333,0.0,-3.6666666666666665,-1002.3333333333334,125.66666666666667,-6.666666666666667,-2.3333333333333335,RTL,0.008512042928487062,-0.008573420345783234,-1.453072985013326,0.12379126250743866,-0.009900366188958287,-0.0060623047562936945
08:59:39,137527.0,-35.3632631,149.16524266666667,222573.0,7.666666666666667,-12.0,-0.3333333333333333,-1.0,10.0,-997.6666666666666,88.66666666666667,6.0,-1.3333333333333333,RTL,0.001621078602814426,-0.009549623355269432,-1.4574230114618938,0.08482045928637187,0.0033500658658643565,-0.00500881935780247
08:59:41,137527.0,-35.3632633,149.16524030000002,222574.0,6.666666666666667,-11.666666666666666,0.3333333333333333,-4.333333333333333,-1.6666666666666667,-997.6666666666666,245.33333333333334,2.0,-4.666666666666667,RTL,0.019699158146977425,-0.0036780703036735454,-1.468258221944173,0.24269832173983255,-0.0002230363121877114,-0.007918497857948145
08:59:43,137527.0,-35.363264799999996,149.16523863333333,222521.33333333334,21.333333333333332,-5.666666666666667,24.0,-1.0,-32.666666666666664,-932.3333333333334,-561.6666666666666,2.6666666666666665,-7.333333333333333,RTL,0.02079173782840371,-0.0013597719274306048,-1.4781535466512044,-0.5649886367221674,0.00011626266253491242,-0.010579140235980352
08:59:44,195775.0,-35.3632648,149.16523803333334,221714.0,25.333333333333332,-2.3333333333333335,102.33333333333333,-1.6666666666666667,-6.666666666666667,-941.0,-988.3333333333334,1.6666666666666667,-3.0,RTL,-0.0026216374632592,-0.00012854661084323501,-1.4837653239568074,-0.9944906234741211,-0.0006569407414644957,-0.006408606035013993
08:59:45,195775.0,-35.36326466666667,149.16523783333332,220851.33333333334,25.0,-1.0,113.0,0.3333333333333333,-64.33333333333333,-1032.3333333333333,-1433.0,4.0,-9.666666666666666,RTL,-0.00035987810527634184,0.0005111672799102962,-1.486908753712972,-1.437101125717163,0.001077925165494283,-0.012856937750863532
08:59:47,195775.0,-35.36326246666667,149.1652377,218722.33333333334,10.666666666666666,-1.0,99.66666666666667,5.0,-74.0,-1008.6666666666666,-1050.3333333333333,1.6666666666666667,-10.0,RTL,-0.012121850624680519,0.004692683306833108,-1.4940381050109863,-1.052899916966756,-0.000976946981002887,-0.0138467854509751
