time_stamp,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,chan4_raw
17:01:45,1500.0,-35.362389050000004,149.16685105,49946.5,9.0,-413.0,1.0,0.019540630746632814,-0.20595604926347733,-1.3867619633674622,-0.03737694025039673,-0.015655566472560167,0.7247197329998016,AUTO,-84.5,-32.0,-1000.0,-34.5,-13.0,726.0,1868.0
17:01:47,1500.0,-35.362390149999996,149.16674025,49934.5,9.5,-609.0,-0.5,-0.20244623720645905,-0.06471237726509571,0.05448136664927006,0.03727971948683262,-0.02244031336158514,0.7218154966831207,AUTO,-64.5,120.0,-1001.0,40.0,-20.0,723.5,1868.0
17:01:49,1500.0,-35.36239075,149.16659645,50027.5,3.0,-691.0,-2.0,-0.1714790165424347,-0.022947479970753193,0.33072489500045776,0.013161521404981613,0.0007216846570372581,-0.00031699950341135263,AUTO,-25.0,154.5,-989.5,16.5,2.5,2.0,1500.0
17:01:51,1500.0,-35.362391650000006,149.16644555,50046.5,-5.0,-690.5,4.0,-0.1578681394457817,-0.025249687023460865,0.328126922249794,-0.005469972267746925,0.0006413899827748537,-0.0019975720206275582,AUTO,-21.0,145.0,-989.0,-2.5,2.5,0.5,1500.0
17:01:53,1500.0,-35.3623931,149.1662951,50039.5,-12.0,-673.0,-7.5,-0.10504939407110214,-0.04624521918594837,0.3299541175365448,0.02739955112338066,-0.00869212532415986,0.0040375967510044575,AUTO,-33.5,151.5,-1000.5,30.0,-6.5,5.0,1500.0
17:01:55,1500.0,-35.362394800000004,149.16616349999998,50092.0,-7.0,-509.0,3.0,-0.017022465355694294,-0.06879209727048874,0.3276999294757843,-0.46647216379642487,-0.006637119920924306,0.017556518781930208,AUTO,-23.5,83.0,-1003.0,-464.5,-4.0,19.5,1500.0
17:01:57,1500.0,-35.3623958,149.16607829999998,50003.0,3.0,-278.0,2.0,-0.0037404480681288987,-0.06686218827962875,0.7375024855136871,-0.6327264457941055,-0.03600805625319481,0.8144817352294922,AUTO,12.0,43.5,-1009.5,-629.0,-33.0,816.0,1863.0
17:01:59,1500.0,-35.3623958,149.16604274999997,49959.0,4.0,-83.0,-1.5,-0.03566866461187601,-0.027689979411661625,2.1997694969177246,0.10207918286323547,0.020381301175802946,0.7241045236587524,AUTO,14.5,18.0,-1013.5,106.5,22.0,726.0,1863.0
17:02:01,1500.0,-35.362396450000006,149.16603705,49968.0,4.5,-10.0,-2.5,-0.0004617281665559858,0.003217831370420754,2.473628520965576,0.24550340697169304,0.01713278517127037,-0.015464693307876587,AUTO,-0.5,-2.0,-1004.0,246.5,19.0,-13.0,1500.0
17:02:03,1500.0,-35.3623971,149.16603665,49996.0,8.5,-30.0,0.0,0.018951808102428913,0.03158180508762598,2.4709423780441284,0.41204143315553665,-0.019372758455574512,0.008061922853812575,AUTO,4.0,24.0,-995.5,415.0,-16.0,9.5,1500.0
17:02:05,1500.0,-35.362396950000004,149.1660339,50004.5,10.5,-1.0,0.0,-0.021542692556977272,-0.01675125490874052,2.4675830602645874,-0.24840610474348068,-0.0045173391699790955,-0.0033361727255396545,AUTO,-2.0,-19.5,-998.0,-248.0,-2.0,-1.5,1500.0
17:02:07,1500.0,-35.36239595,149.16603750000002,50005.5,2.0,-13.5,0.0,0.018231429625302553,0.00750306760892272,2.466548442840576,-0.06957526504993439,-0.004615924204699695,0.002153898705728352,AUTO,-1.0,15.5,-1001.5,-65.5,-1.5,3.5,1500.0
