time_stamp,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT
16:24:06,-35.3625195,149.16566815,49998.5,-103.5,-54.0,0.0,RTL,-0.02285551093518734,0.08879178017377853,0.4662090837955475,-0.4302889406681061,0.04787353798747063,0.004519734298810363,20.5,3.0,-1000.5,-428.0,48.0,5.5,1500.0
16:24:08,-35.36254826666667,149.16565183333333,49983.333333333336,-234.0,-115.0,0.0,RTL,-0.03233408182859421,0.11301891257365544,0.4631059467792511,0.19868644078572592,-0.03208658347527186,0.0020739656562606492,52.333333333333336,33.666666666666664,-1003.0,198.66666666666666,-30.666666666666668,2.6666666666666665,1500.0
16:24:10,-35.3626019,149.1656208,50002.0,-306.0,-150.0,0.0,RTL,-0.04639468714594841,0.08467612415552139,0.4616866409778595,0.2174781858921051,-0.022820470854640007,0.023935412988066673,72.0,71.0,-1004.0,222.0,-21.0,25.0,1500.0
16:24:12,-35.3626584,149.1655873,50007.0,-321.0,-156.0,1.0,RTL,-0.05560266226530075,0.08145047724246979,0.45832714438438416,-0.5583409667015076,-0.013186615891754627,-0.00677466532215476,70.5,29.5,-993.0,-274.5,0.0,-7.5,1500.0
16:24:17,-35.36278814999999,149.16550921249998,50010.0,-342.25,-142.0,0.875,RTL,-0.03529637213796377,0.07468291278928518,0.4536537677049637,-0.01515079103410244,0.0015446569814230315,-0.004013114143162966,73.375,42.125,-995.125,-14.375,2.375,-2.375,1500.0
16:24:23,-35.36285408,149.16547198,50002.0,-341.0,-145.2,0.8,RTL,-0.04342077523469925,0.0740514263510704,0.4515843391418457,0.06327797919511795,0.002314763329923153,0.002943554986268282,76.2,50.2,-997.6,65.6,3.2,4.6,1500.0
16:24:28,-35.36300798333333,149.16538436666667,50005.0,-338.3333333333333,-160.16666666666666,0.0,RTL,-0.04742252267897129,0.07632152860363324,0.4488964378833771,-0.07587752273927133,-1.5066082899769148e-07,0.002442277347048124,78.83333333333333,45.0,-997.3333333333334,-73.83333333333333,1.0,4.0,1500.0
16:24:30,-35.363074271428566,149.16534627142855,50003.142857142855,-338.2857142857143,-157.0,0.14285714285714285,RTL,-0.05201053087200437,0.07614834074463163,0.44827520847320557,0.1106823640210288,0.0036061726942924516,0.005400962312705815,73.28571428571429,53.142857142857146,-996.2857142857143,112.57142857142857,4.714285714285714,7.0,1500.0
16:24:32,-35.363140449999996,149.16530931666668,50000.333333333336,-334.8333333333333,-167.66666666666666,0.0,RTL,-0.05792019081612428,0.07787076756358147,0.44681812326113385,-0.007597049077351888,-0.004218738933559507,-0.005969503118346135,75.33333333333333,41.0,-995.5,-6.5,-3.0,-4.0,1500.0
16:24:37,-35.363257125000004,149.16524225,50003.75,-91.5,-71.25,1.75,RTL,-0.03378956392407417,-0.07821336947381496,0.4550006538629532,-0.21235637553036213,0.019653799710795283,-0.013520494336262345,21.5,-3.25,-1004.0,-214.25,20.75,-11.75,1500.0
16:24:39,-35.363264349999994,149.1652355,49997.5,-3.5,-13.0,0.0,RTL,0.011686347424983978,-0.01850007101893425,0.4512387067079544,0.5774151384830475,0.015601939056068659,-0.0006844110321253538,0.5,19.0,-1012.5,576.5,16.0,0.5,1500.0
16:24:41,-35.3632642,149.1652348,50001.0,-3.5,-1.5,0.0,RTL,0.006667405934422277,0.004140597651712596,0.45126670598983765,-0.009979970753192902,-0.005861029494553804,0.0005152625235496089,-0.75,6.75,-1000.75,-7.5,-4.75,1.5,1500.0
