time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
05:14:04,-0.6666666666666666,-21.666666666666668,-1001.6666666666666,-370.0,1.0,0.3333333333333333,0.013852649057904879,-0.0002861094253603369,1.6492595275243123,-0.3722434441248576,-0.00140542925025026,-0.0006248619368610283,-35.36326106666667,149.16523773333336,9090.666666666666,-9.333333333333334,-4.0,32.666666666666664,34354.0,RTL
05:14:06,0.6666666666666666,7.0,-1007.3333333333334,209.33333333333334,6.0,3.0,0.012630642391741276,0.0053119162718455,1.6496816078821819,0.20657206140458584,0.003374676608170072,0.001923984382301569,-35.36326033333333,149.1652377,8732.0,-20.666666666666668,-1.0,-7.333333333333333,34354.0,RTL
05:14:08,0.0,-7.25,-1004.25,-404.25,2.5,0.0,-0.005309125583153218,0.005839747143909335,1.649190366268158,-0.4076429530978203,-2.8836424462497234e-05,-0.0016744618769735098,-35.36326162500001,149.1652379,8825.75,-8.75,-2.75,-1.0,93939.0,RTL
05:14:10,0.0,-12.666666666666666,-1000.0,-287.6666666666667,3.6666666666666665,2.6666666666666665,-0.0016546046050886314,0.0043875728733837605,1.6490424474080403,-0.2912678197026253,0.001076467412834366,0.0017817513241122167,-35.3632617,149.1652378,8838.666666666666,-7.0,-2.0,-0.3333333333333333,93939.0,RTL
05:14:12,0.0,41.0,-956.3333333333334,585.6666666666666,2.3333333333333335,0.0,0.0009383919799195913,0.004361580281207959,1.6489364703496296,0.5818068385124207,-0.0004528101223210494,-0.0006811289543596407,-35.3632621,149.1652377,8797.333333333334,-2.3333333333333335,-2.0,14.333333333333334,93939.0,RTL
05:14:13,-0.3333333333333333,-6.333333333333333,-1005.0,268.3333333333333,2.3333333333333335,0.3333333333333333,0.01245308325936397,0.0036642325576394796,1.648435393969218,0.26617805163065594,-0.0007310671110947927,-0.0012363276910036802,-35.3632621,149.1652377,8351.0,-1.0,-1.6666666666666667,40.0,104918.0,RTL
05:14:14,-0.6666666666666666,-12.0,-1001.0,-505.3333333333333,2.6666666666666665,1.3333333333333333,-0.007212036017638941,0.0038940494414418936,1.6481630007425945,-0.509187693397204,0.00041048818578322727,0.00048569256129364174,-35.363262066666664,149.16523773333333,8061.333333333333,-1.3333333333333333,-2.0,35.666666666666664,104918.0,RTL
05:14:16,-0.6666666666666666,16.666666666666668,-1005.0,46.333333333333336,5.333333333333333,1.0,0.005603421169022719,0.003291151641557614,1.6480297247568767,0.0419730506837368,0.0022608445336421332,-5.284712339440981e-05,-35.36326136666666,149.1652378,7350.333333333333,-6.333333333333333,-2.0,33.333333333333336,104918.0,RTL
05:14:18,0.3333333333333333,-14.0,-997.0,-756.3333333333334,4.0,2.3333333333333335,-0.008212581742554903,0.005684926174581051,1.6483888626098633,-0.7614050904909769,0.0010514684642354648,0.0006804684332261483,-35.3632611,149.16523793333332,6665.333333333333,-11.333333333333334,-3.0,35.0,104918.0,RTL
05:14:19,-0.6666666666666666,28.666666666666668,-1006.6666666666666,632.0,3.3333333333333335,3.6666666666666665,0.020907243092854817,0.0028437132326265178,1.6484944025675456,0.628656009833018,0.0005054175077627102,0.002863767595651249,-35.363260733333334,149.165238,6248.333333333333,-12.0,-4.0,31.666666666666668,113006.0,RTL
