time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,alt,lat,lon,relative_alt,vx,vy,vz,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro
18:01:54,0.002219992456957698,0.0017244520131498575,-0.11950040608644485,0.0023321486078202724,-0.0007390047539956868,0.008419823832809925,622930.0,-35.3632621,149.1652376,38997.0,0.0,0.0,-153.0,AUTO,0.0,0.0,-1001.0,3.0,0.0,8.0
18:01:55,0.0020480050239712,0.001477939449250698,-0.11001483052968979,-0.0010602732771076262,-0.0001270143664442003,0.007588179130107164,624876.0,-35.3632621,149.16523744,40939.4,-1.0,0.4,-153.0,AUTO,0.0,0.0,-999.6,-0.2,0.4,7.2
18:01:56,0.0017744937213137746,0.0015841822605580091,-0.10493753850460052,0.0036880318075418472,0.0005832217866554856,0.006394678261131048,626040.0,-35.363262,149.1652374,42105.0,-1.0,1.0,-153.0,LOITER,0.0,0.0,-1001.0,4.0,1.0,6.0
18:01:57,-0.026641674013808368,0.03260680180974305,-0.003869234025478363,-0.06613163901492954,0.0333072324981913,0.2681869617663324,627944.0,-35.36326208,149.16523726,44007.6,-7.0,-5.6,-131.4,LOITER,0.4,0.6,-924.0,-65.0,34.2,268.0
18:01:58,-0.04046563431620598,0.025694826617836952,0.2577122747898102,0.16390460729599,-0.2337685078382492,0.16709865629673004,628740.0,-35.363263,149.1652359,44804.0,-31.0,-34.0,-33.0,LOITER,3.0,11.0,-809.0,165.0,-232.0,167.0
18:01:59,0.06419564299285412,-0.04788331501185894,0.26460379660129546,0.4845249176025391,0.02425217516720295,-0.03197329193353653,627614.0,-35.36326468,149.16523279999998,43680.2,2.0,2.0,168.6,LOITER,-1.0,-12.0,-910.8,484.0,25.0,-31.2
18:02:00,0.025387845933437347,-0.015774071216583252,0.23831358551979065,1.0285427570343018,0.04459357634186745,-0.020804066210985184,626170.0,-35.3632641,149.165234,42235.0,17.0,37.0,198.0,LOITER,-3.0,93.0,-989.0,1033.0,45.0,-20.0
18:02:01,0.0052553264424204825,0.00792828742414713,0.20325755476951599,-0.3691610902547836,-0.004283210355788469,-0.035081364959478376,623738.0,-35.363261980000004,149.16523764000002,39803.8,13.2,29.0,163.6,AUTO,-1.2,-51.4,-1070.6,-370.8,-3.2,-34.4
18:02:02,0.017780689988285303,-0.00017026078421622515,0.18433689326047897,0.14264953136444092,-0.0100848947186023,-0.019816642627120018,622400.0,-35.3632609,149.1652383,38467.0,5.0,16.0,56.0,AUTO,-2.5,-16.0,-1075.5,143.0,-8.5,-19.5
18:02:03,0.01838853396475315,-0.0035469645517878234,0.16866718977689743,-0.00402257964015007,-0.00041676146793179214,-0.02176044601947069,622117.5,-35.36326055,149.165237775,38180.0,1.0,19.75,-4.25,AUTO,-0.5,5.25,-1051.5,-1.75,0.75,-21.0
18:02:04,0.020851269364356995,-0.00421955157071352,0.1586247682571411,-0.1935640424489975,-0.004609579686075449,-0.025163667276501656,622190.0,-35.3632605,149.1652377,38258.0,0.0,22.0,-33.0,AUTO,0.0,-18.0,-1046.0,-192.0,-3.0,-24.0
