time_stamp,MODE,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:49:14,AUTO,1500.0,0.0,0.3333333333333333,-991.6666666666666,7.666666666666667,-3.0,1.6666666666666667,-0.016571860139568646,0.0038830268507202468,1.0372764666875203,0.008241119484106699,-0.004484236822463572,0.0017052359180524945,-35.36238326666666,149.16692606666666,14736.0,21.0,-18.0,-20.0
20:49:16,BRAKE,1500.0,-2.6666666666666665,6.666666666666667,-1002.6666666666666,-36.666666666666664,3.0,1.0,-0.0015879017300903797,0.0015971643539766471,1.037839372952779,-0.03697863221168518,0.001834334572777152,0.0012978716501190017,-35.362382399999994,149.1669251,14913.333333333334,17.333333333333332,-13.333333333333334,-0.6666666666666666
20:49:18,BRAKE,1500.0,-2.6666666666666665,10.666666666666666,-997.0,140.33333333333334,0.3333333333333333,1.0,0.007480412721633911,0.0032630752927313247,1.0374550819396973,0.140851100285848,-0.0006994621750588218,0.0008494269180422028,-35.36238083333333,149.16692400000002,14977.333333333334,7.0,-7.0,-2.3333333333333335
20:49:20,ALT_HOLD,1500.0,-1.3333333333333333,19.333333333333332,-1003.3333333333334,239.33333333333334,4.333333333333333,2.0,0.022171767118076485,0.002934381365776062,1.0379056135813396,0.23891185720761618,0.0030898922511066,0.0021193952222044268,-35.362379000000004,149.16692256666667,15011.666666666666,-4.666666666666667,0.0,-0.3333333333333333
20:49:22,AUTO,1500.0,-3.3333333333333335,96.33333333333333,-959.0,1767.0,0.0,-3.3333333333333335,0.024640004771451157,0.0005896240763831884,1.0363374948501587,1.7628007332483928,-0.0012376451243956883,-0.003903421418120464,-35.362377,149.16692153333335,13549.333333333334,2.6666666666666665,-1.0,186.0
20:49:24,AUTO,1500.0,-2.0,-5.666666666666667,-1064.0,-205.33333333333334,0.3333333333333333,2.3333333333333335,0.018169453057150047,0.004171390862514575,1.0375712712605794,-0.20537249247233072,-0.0011471215014656384,0.0022792757178346315,-35.3623747,149.16692049999997,11151.333333333334,-9.0,3.3333333333333335,9.333333333333334
20:49:26,AUTO,1500.0,0.0,2.6666666666666665,-991.6666666666666,37.666666666666664,1.3333333333333333,0.6666666666666666,0.024556733046968777,0.0045933895744383335,1.0376393795013428,0.037248906989892326,-9.869570688654979e-05,0.0001534769544377923,-35.3623738,149.1669198333333,11465.0,-21.666666666666668,9.666666666666666,-18.666666666666668
20:49:28,AUTO,1500.0,0.0,-3.6666666666666665,-994.6666666666666,49.333333333333336,0.0,0.0,0.018688962794840336,0.004530806404848893,1.0378011465072632,0.049330453077952065,-0.001659837900660932,-0.0002620452626918753,-35.362374233333334,149.16692003333333,11642.333333333334,-20.333333333333332,9.333333333333334,2.6666666666666665
20:49:30,AUTO,1500.0,1.0,-5.666666666666667,-1027.6666666666667,-32.666666666666664,4.333333333333333,0.0,0.01510517361263434,0.005866607806334893,1.037632425626119,-0.033558860421180725,0.003246319325019916,-0.0005405489937402308,-35.3623747,149.1669203,11872.666666666666,-18.333333333333332,8.333333333333334,-32.0
20:49:32,BRAKE,1500.0,1.3333333333333333,0.0,-975.0,-29.666666666666668,2.3333333333333335,1.3333333333333333,-6.203508625427882e-05,0.006398306228220463,1.0370499690373738,-0.030932565530141194,0.0013331495768701036,0.0011107635994752247,-35.36237606666666,149.16692133333333,12783.333333333334,-8.333333333333334,2.0,-32.0
20:49:34,BRAKE,1500.0,0.6666666666666666,-6.666666666666667,-997.3333333333334,-227.66666666666666,-0.6666666666666666,0.3333333333333333,-0.0034614593508498124,0.004369277119015654,1.0379480520884197,-0.2292854686578115,-0.002746415479729573,5.654222331941128e-05,-35.36237713333333,149.16692193333333,13142.0,-1.6666666666666667,-1.0,-5.666666666666667
20:49:36,ALT_HOLD,1500.0,-0.3333333333333333,-1.3333333333333333,-847.3333333333334,-448.0,2.3333333333333335,-3.0,-0.0109960090679427,0.00047192311224838096,1.037293831507365,-0.45191359023253125,0.0008388992088536421,-0.0038376187051956854,-35.36237766666667,149.16692220000002,13106.333333333334,3.0,-1.0,51.333333333333336
20:49:38,AUTO,1500.0,-1.3333333333333333,43.333333333333336,-1131.3333333333333,252.33333333333334,8.0,2.6666666666666665,-0.007669396077593167,0.0070531001935402555,1.0368118683497112,0.24638712157805762,0.006625944282859564,0.002686241796861092,-35.3623778,149.1669234,10004.666666666666,3.3333333333333335,1.0,124.66666666666667
20:49:40,AUTO,1500.0,-0.3333333333333333,-0.3333333333333333,-1011.3333333333334,-5.0,-1.0,0.6666666666666666,-9.45307935277621e-05,0.004968026342491309,1.0373927752176921,-0.006005290274818738,-0.002948289504274726,0.00017253695599113902,-35.36237786666666,149.166924,9445.333333333334,6.333333333333333,-7.0,-20.666666666666668
20:49:42,AUTO,1500.0,1.3333333333333333,0.6666666666666666,-985.6666666666666,43.0,2.3333333333333335,0.3333333333333333,-0.0003257264227916797,0.0052977177935342,1.0379081567128499,0.04227897524833679,0.0009978079081823428,-0.0006039203532661,-35.3623777,149.1669239,9820.666666666666,3.6666666666666665,-5.333333333333333,-7.333333333333333
20:49:44,AUTO,1500.0,-0.3333333333333333,-4.0,-1024.0,32.666666666666664,1.0,0.3333333333333333,0.0036565642027805247,0.00347520395492514,1.037604848543803,0.03274381347000599,-0.0010976342018693686,-3.321331071977814e-05,-35.3623778,149.16692383333333,9882.666666666666,4.666666666666667,-6.0,-11.666666666666666
20:49:46,BRAKE,1500.0,-0.3333333333333333,-1.0,-977.3333333333334,-57.0,3.0,1.3333333333333333,0.007394377530242006,0.0031987569915751615,1.0366525252660115,-0.057295953234036766,0.0017992123030126095,0.001059768081177026,-35.36237743333333,149.16692333333333,10582.666666666666,0.3333333333333333,-2.3333333333333335,-37.333333333333336
20:49:48,BRAKE,1500.0,-0.3333333333333333,0.0,-990.6666666666666,-33.0,0.3333333333333333,1.6666666666666667,0.010348445735871792,0.0033332389624168477,1.0376847585042317,-0.03389527400334676,-0.0012300723465159535,0.0014662259685186048,-35.3623768,149.16692283333333,11016.333333333334,-3.0,-0.3333333333333333,-7.0
20:49:50,ALT_HOLD,1500.0,0.0,17.333333333333332,-902.0,300.0,-3.3333333333333335,1.6666666666666667,0.002686974088040491,0.0009790039233242471,1.0380731423695881,0.2980778018633525,-0.005339600456257661,0.0009503260565300783,-35.3623767,149.16692266666666,11073.333333333334,-3.3333333333333335,1.0,20.333333333333332
20:49:52,AUTO,1500.0,-0.6666666666666666,28.333333333333332,-1142.0,1089.6666666666667,2.3333333333333335,-4.333333333333333,0.023969304437438648,0.004170588683336973,1.0365320841471355,1.0919974247614543,0.000663767879207929,-0.004721259698271751,-35.3623763,149.1669228,8389.666666666666,2.0,0.3333333333333333,126.0
20:49:54,AUTO,1500.0,-0.3333333333333333,2.6666666666666665,-1012.3333333333334,41.333333333333336,3.3333333333333335,0.0,0.009408248433222374,0.0055384331693251925,1.037187099456787,0.04004781941572825,0.0017717020042861502,-0.00029509031446650624,-35.36237573333333,149.1669228,7792.333333333333,-2.6666666666666665,0.0,-18.666666666666668
20:49:56,AUTO,1500.0,0.0,-7.333333333333333,-983.3333333333334,-91.66666666666667,1.6666666666666667,1.0,0.005779545055702329,0.00461245762805144,1.037684957186381,-0.0917713741461436,-0.0007719050627201796,0.0004682691457370917,-35.36237573333333,149.1669228,8161.0,-4.0,0.0,-6.666666666666667
20:49:58,AUTO,1500.0,0.3333333333333333,-7.0,-1021.0,-135.0,0.6666666666666666,1.6666666666666667,0.004365727538242936,0.00463032132635514,1.0376393397649128,-0.1354872186978658,-0.0012885911079744499,0.000883694039657712,-35.36237596666667,149.16692286666668,8211.333333333334,-2.6666666666666665,0.0,-9.0
20:50:00,AUTO,1500.0,0.3333333333333333,0.6666666666666666,-996.0,3.0,2.6666666666666665,0.6666666666666666,0.0027330420756091676,0.004326886186997096,1.0370984474817913,0.002236387381951014,0.0005271180610482892,0.0001642928885606428,-35.36237633333334,149.16692296666668,8962.666666666666,-2.3333333333333335,-0.3333333333333333,-50.333333333333336
20:50:02,BRAKE,1500.0,0.0,0.0,-989.0,-74.66666666666667,3.3333333333333335,2.0,0.0014918348751962185,0.003574789734557271,1.037725567817688,-0.07610027988751729,0.0017200699852158625,0.0012210691735769312,-35.362376633333334,149.1669231,9590.666666666666,0.6666666666666666,-1.0,-10.0
20:50:04,BRAKE,1500.0,-0.6666666666666666,8.666666666666666,-995.3333333333334,84.0,1.0,2.0,0.010271567536013512,0.0018713558092713356,1.0379749933878581,0.08262898524602254,-0.00067114372116824,0.0014148570286730926,-35.362376399999995,149.16692279999998,9714.666666666666,0.3333333333333333,-1.3333333333333333,-2.0
20:50:06,ALT_HOLD,1500.0,-1.0,28.333333333333332,-844.3333333333334,736.3333333333334,1.6666666666666667,0.6666666666666666,0.007690081528077523,0.000515237043146044,1.0375618139902751,0.7349719479680061,-0.00044085636424521607,-0.0006944028427824378,-35.36237596666666,149.16692253333332,9644.0,0.3333333333333333,0.0,49.0
20:50:08,AUTO,1500.0,-0.3333333333333333,34.0,-1139.6666666666667,1217.6666666666667,4.0,0.3333333333333333,0.025202538818120956,0.004529553620765607,1.036904772122701,1.2187340060869853,0.0020557202709217868,-0.0003946707195912798,-35.362374466666665,149.1669222,6582.0,4.666666666666667,0.0,127.0
20:50:10,AUTO,1500.0,0.3333333333333333,2.0,-1014.6666666666666,6.0,-1.0,1.6666666666666667,-0.0063704360121240216,0.007089706448217233,1.037569522857666,0.004927242795626323,-0.0038071242161095142,0.000861252270018061,-35.36237473333333,149.1669229,5974.333333333333,5.0,-5.0,-21.0
20:50:12,AUTO,1500.0,-0.6666666666666666,-2.0,-982.3333333333334,-9.333333333333334,-1.0,0.3333333333333333,0.0034017731280376515,0.0020773805833111205,1.0375773906707764,-0.009542681276798248,-0.003488574099416534,-0.00018134946003556252,-35.36237466666666,149.1669226,6345.0,6.333333333333333,-7.666666666666667,-8.666666666666666
20:50:14,AUTO,1500.0,-0.6666666666666666,-4.666666666666667,-1025.0,-48.0,5.666666666666667,1.3333333333333333,0.011010144371539354,0.0032277234519521394,1.037437081336975,-0.048400700092315674,0.0037133980076760054,0.0002966450604920586,-35.362373999999996,149.16692203333332,6436.666666666667,-0.3333333333333333,-1.6666666666666667,-15.666666666666666
20:50:16,AUTO,1500.0,0.0,-0.6666666666666666,-1000.0,-11.0,1.3333333333333333,1.0,0.0053431799945731955,0.005100017258276542,1.036692460378011,-0.012112187842528025,-0.0004055594326928258,-7.844118711849053e-05,-35.362373966666674,149.16692206666664,7273.666666666667,-4.666666666666667,0.0,-59.666666666666664
20:50:18,BRAKE,1500.0,0.0,4.333333333333333,-973.6666666666666,46.333333333333336,1.0,4.0,0.005601670573620747,0.003794998163357377,1.03742520014445,0.045310571789741516,-0.001369093273145457,0.003195787469546,-35.362374233333334,149.1669222,8070.0,-2.3333333333333335,-1.0,-6.666666666666667
20:50:20,BRAKE,1500.0,0.0,14.333333333333334,-1006.0,246.33333333333334,5.0,2.0,0.008077741483096664,0.003166426671668887,1.0380882422129314,0.24472874402999878,0.0027136331579337516,0.001011254886786143,-35.3623744,149.1669221,8064.0,-2.0,0.0,0.0
20:50:22,ALT_HOLD,1500.0,0.0,9.0,-1001.0,200.0,3.0,2.6666666666666665,0.00960946890215079,0.0034527930741508803,1.0375837484995525,0.1996953266983231,0.0011973928194493055,0.002124961387986938,-35.3623745,149.1669221,8084.666666666667,-1.6666666666666667,0.0,-0.6666666666666666
20:50:24,AUTO,1500.0,0.3333333333333333,-27.0,-919.3333333333334,606.6666666666666,0.6666666666666666,-2.3333333333333335,0.03136533436675867,0.0006546557415276766,1.0360705852508545,0.6134178638458252,-0.0013841734422991674,-0.0037940412294119596,-35.3623735,149.16692149999997,6723.0,6.666666666666667,-2.6666666666666665,185.0
20:50:26,AUTO,1500.0,0.0,4.666666666666667,-1070.6666666666667,-74.66666666666667,4.666666666666667,0.6666666666666666,0.0025635036387636014,0.005804380712409814,1.0382756392161052,-0.07712001850207646,0.0030546500347554684,-0.0009146913653239608,-35.36237263333334,149.1669214,4226.666666666667,-1.6666666666666667,1.0,13.0
20:50:28,AUTO,1500.0,-0.3333333333333333,1.0,-990.3333333333334,13.666666666666666,0.0,3.0,0.010404923154662052,0.0035306140004346767,1.037255048751831,0.013013894359270731,-0.0021763774566352367,0.0016395576919118564,-35.3623725,149.1669214,4523.0,-2.0,-2.0,-19.0
20:50:30,AUTO,1500.0,0.0,-10.0,-997.0,-194.0,2.0,0.6666666666666666,0.010550832375884056,0.0037952968074629703,1.0377188920974731,-0.19501935504376888,0.0003982222406193614,-0.000585982808843255,-35.3623721,149.166921,4707.0,-7.0,2.0,2.3333333333333335
20:50:32,BRAKE,1500.0,0.0,-1.3333333333333333,-990.6666666666666,-20.666666666666668,3.3333333333333335,0.6666666666666666,0.006403972317154209,0.005238023741791646,1.0375832716623943,-0.02228352924187978,0.001427232443044583,-0.0009345742097745339,-35.3623724,149.16692123333334,4912.333333333333,-6.0,1.0,-16.666666666666668
20:50:34,BRAKE,1500.0,0.3333333333333333,4.666666666666667,-997.0,70.0,2.6666666666666665,2.0,-1.0138222326834997e-05,0.005662751849740744,1.0376266638437908,0.0681106448173523,0.0004468800810476144,0.0008189713892837366,-35.36237323333333,149.16692179999998,5126.0,-3.3333333333333335,0.0,-3.0
20:50:36,ALT_HOLD,1500.0,0.0,-16.666666666666668,-823.0,281.0,3.0,4.333333333333333,0.010628764828046164,0.0006747661779324213,1.0370553334554036,0.28468827654918033,0.0008657880437870821,0.0031642772567768893,-35.36237413333333,149.16692236666665,5019.0,4.666666666666667,-3.0,62.0
20:50:38,AUTO,1500.0,0.3333333333333333,-18.333333333333332,-1146.0,354.6666666666667,4.0,0.6666666666666666,0.01352570554202733,0.0062908379671474295,1.036852478981018,0.35799041390419006,0.0021434458127866187,-0.0009546863536039988,-35.36237416666666,149.16692326666666,1894.6666666666667,0.6666666666666666,1.3333333333333333,115.66666666666667
20:50:40,AUTO,1500.0,-0.3333333333333333,0.0,-1013.3333333333334,-27.666666666666668,2.0,2.0,0.003787736815866083,0.005119324196130037,1.037543813387553,-0.02882125476996104,-0.0006317458270738522,0.0007936983602121472,-35.36237406666667,149.1669236,1387.0,0.6666666666666666,-3.3333333333333335,-18.666666666666668
20:50:42,AUTO,1500.0,0.0,-1.3333333333333333,-984.6666666666666,-91.33333333333333,1.0,2.6666666666666665,0.006269213394261897,0.0016651682866116364,1.037449796994527,-0.09218709046641986,-0.001623722220150133,0.0012229988545489807,-35.3623739,149.16692326666669,1767.6666666666667,-0.6666666666666666,-1.6666666666666667,-6.0
20:50:44,BRAKE,1500.0,0.0,-5.333333333333333,-1024.0,-143.0,3.3333333333333335,1.6666666666666667,0.016643643689652283,0.0033754012547433376,1.037807583808899,-0.14420074224472046,0.0008341871046771606,0.0006222728018959364,-35.36237306666666,149.16692253333332,1834.6666666666667,-9.0,4.0,-12.666666666666666
20:50:46,BRAKE,1500.0,0.6666666666666666,4.666666666666667,-993.3333333333334,93.33333333333333,2.6666666666666665,1.6666666666666667,0.00702265832417955,0.005999424494802952,1.037665883700053,0.0919379157324632,0.000556000197927157,0.00032426595377425355,-35.362373633333334,149.1669231,2180.6666666666665,-8.333333333333334,3.0,-8.333333333333334
20:50:48,ALT_HOLD,1500.0,0.0,-5.666666666666667,-997.3333333333334,-3.0,2.0,0.3333333333333333,0.004849905225758751,0.004511118556062381,1.0374182065327961,-0.003117552027106285,-0.00032088284691174823,-0.0007962819654494524,-35.362374366666664,149.1669236,2280.0,-2.0,-0.6666666666666666,-0.3333333333333333
20:50:50,AUTO,1500.0,-1.3333333333333333,-89.33333333333333,-953.0,-1884.0,1.0,-1.3333333333333333,-0.008566636436929306,0.0007175157273498675,1.0370395978291829,-1.882420301437378,-0.0015596568118780851,-0.0032801836108167968,-35.3623742,149.16692373333333,763.0,3.0,0.0,187.66666666666666
20:50:52,AUTO,1500.0,0.0,-1.6666666666666667,-1000.0,2.0,2.0,2.0,0.013537360976139704,0.009437412644426027,1.0331239700317383,0.0008593245098988215,-0.00022255893175800642,0.0006593251988912622,-35.3623751,149.1669251,192.0,-21.0,13.0,-20.0
20:50:54,AUTO,1500.0,0.0,-1.6666666666666667,-1000.0,2.0,2.0,2.0,0.008749072129527727,0.008223330912490686,1.0350191195805867,0.0005875045123199621,-0.00023928013009329638,0.0006672360080604752,-35.36237483333333,149.1669242,269.3333333333333,-11.0,-2.0,-13.0
20:50:57,AUTO,1500.0,0.0,-1.0,-1000.0,2.0,2.0,2.0,0.007272571790963411,0.005221967119723558,1.0355569124221802,0.0005286750383675098,-0.0003491519019007683,0.0006750081665813923,-35.3623745,149.1669236,254.0,-3.0,-5.0,-7.0
20:50:59,AUTO,1500.0,0.0,-1.0,-1000.0,2.0,2.0,2.0,0.006120722740888596,0.0031589563004672527,1.035269856452942,0.0005045426078140736,-0.0003945643547922373,0.0007375449640676379,-35.3623741,149.1669237,191.0,0.0,-2.0,-2.0
20:51:01,AUTO,1500.0,0.0,-1.0,-1000.0,2.0,2.0,2.0,0.00700768968090415,0.0021449741907417774,1.0346568822860718,0.0005253569688647985,-0.0002858343068510294,0.0007053303997963667,-35.362374,149.1669238,127.0,0.0,0.0,0.0
20:51:03,BRAKE,1500.0,0.0,-1.0,-1000.0,2.0,2.0,2.0,0.007662717252969742,0.0018903445452451706,1.0340511798858643,0.0005490162875503302,-0.00030840211547911167,0.0005733462749049067,-35.362374,149.166924,72.0,0.0,2.0,0.0
20:51:05,BRAKE,1500.0,0.0,-1.0,-1000.0,2.0,2.0,2.0,0.007977746427059174,0.0020310203544795513,1.0335988998413086,0.0005948850885033607,-0.0003534671850502491,0.0006425750907510519,-35.362374,149.166924,30.0,-1.0,2.0,1.0
20:51:07,ALT_HOLD,1500.0,0.0,-1.0,-1000.0,3.0,2.0,2.0,0.008028147742152214,0.002309029223397374,1.0332562923431396,0.0004927827976644039,-0.0002116344403475523,0.0005674657877534628,-35.362374,149.1669241,1.0,-1.0,2.0,1.0
