time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,RTL_ALT,LAND_SPEED
17:18:41.331,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:41.534,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:41.736,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:41.938,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:42.139,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:42.340,LAND,-35.363262,149.165238,7856,0.011078819632530212,0.00023751291155349463,-0.011530565097928047,0.3800957500934601,-0.001381770591251552,0.000459213275462389,-4,37,-1049,383,-1,1,-2,-13,7,1500.0,200.0
17:18:42.542,LAND,-35.3632621,149.1652352,7984,0.02678890898823738,-0.0009924765909090638,-0.012324564158916473,-0.43012091517448425,0.0026318004820495844,0.0008375379256904125,-4,-20,-994,-451,-5,4,-1,4,-12,1500.0,200.0
17:18:42.746,LAND,-35.3632621,149.1652339,8074,0.04168419539928436,0.0016838668379932642,-0.013225764036178589,0.08694445341825485,-0.001357777277007699,2.78581865131855e-07,-2,-12,-979,83,0,1,0,17,-3,1500.0,200.0
17:18:42.982,LAND,-35.3632621,149.1652339,8074,0.04168419539928436,0.0016838668379932642,-0.013225764036178589,0.08694445341825485,-0.001357777277007699,2.78581865131855e-07,-2,-12,-979,83,0,1,0,17,-3,1500.0,200.0
17:18:43.202,LAND,-35.3632621,149.1652339,8074,0.04168419539928436,0.0016838668379932642,-0.013225764036178589,0.08694445341825485,-0.001357777277007699,2.78581865131855e-07,-2,-12,-979,83,0,1,0,17,-3,1500.0,200.0
17:18:43.424,LAND,-35.3632621,149.1652339,8074,0.04168419539928436,0.0016838668379932642,-0.013225764036178589,0.08694445341825485,-0.001357777277007699,2.78581865131855e-07,-2,-12,-979,83,0,1,0,17,-3,1500.0,200.0
17:18:43.640,LAND,-35.3632621,149.1652339,8074,0.04168419539928436,0.0016838668379932642,-0.013225764036178589,0.08694445341825485,-0.001357777277007699,2.78581865131855e-07,-2,-12,-979,83,0,1,0,17,-3,1500.0,200.0
17:18:43.855,LAND,-35.3632621,149.1652339,8074,0.04168419539928436,0.0016838668379932642,-0.013225764036178589,0.08694445341825485,-0.001357777277007699,2.78581865131855e-07,-2,-12,-979,83,0,1,0,17,-3,1500.0,200.0
17:18:44.062,LAND,-35.3632621,149.165233,8112,0.02341804839670658,0.003234044648706913,-0.013597570359706879,-0.6761266589164734,0.005593698471784592,-0.00210752384737134,-3,-36,-983,-402,5,4,0,29,2,1500.0,200.0
17:18:44.271,LAND,-35.3632621,149.1652326,8117,0.028796229511499405,0.003909628372639418,-0.01233773585408926,-0.03121115081012249,0.001346157630905509,0.0026578460820019245,-2,16,-992,-26,1,4,0,35,4,1500.0,200.0
17:18:44.473,LAND,-35.3632621,149.1652326,8117,0.028796229511499405,0.003909628372639418,-0.01233773585408926,-0.03121115081012249,0.001346157630905509,0.0026578460820019245,-2,16,-992,-26,1,4,0,35,4,1500.0,200.0
17:18:44.675,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:44.880,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:45.083,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:45.286,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:45.488,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:45.690,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:45.894,LAND,-35.3632621,149.1652326,8117,0.041000138968229294,0.004769811872392893,-0.012421989813446999,0.5812579989433289,0.0037376638501882553,-0.0012476835399866104,0,29,-1014,584,4,0,0,37,2,1500.0,200.0
17:18:46.096,LAND,-35.363262,149.1652329,8121,0.03710808977484703,0.006388809997588396,-0.013366132974624634,0.5865522623062134,1.8741440726444125e-05,0.0010092885931953788,2,14,-1000,585,0,2,0,40,4,1500.0,200.0
17:18:46.300,LAND,-35.3632619,149.1652333,8119,0.012481157667934895,0.007146077696233988,-0.012706899084150791,-0.6136143803596497,-0.0007787389913573861,0.0026180660352110863,0,-18,-982,-610,0,4,0,37,5,1500.0,60.0
17:18:46.502,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:46.704,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:46.906,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:47.107,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:47.312,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:47.514,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:47.716,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:47.918,LAND,-35.3632619,149.1652335,8116,0.01773136481642723,0.007181514520198107,-0.012496735900640488,0.3244345784187317,0.004553208127617836,0.0013042694190517068,0,25,-995,329,4,2,0,37,4,1500.0,60.0
17:18:48.122,LAND,-35.3632618,149.1652343,8067,0.007297419477254152,0.00788641907274723,-0.01296327542513609,-0.9160820841789246,0.000547329313121736,-0.0026923769619315863,1,-45,-935,-563,2,-3,-1,30,27,1500.0,60.0
17:18:48.327,LAND,-35.3632618,149.1652349,7734,0.00045190672972239554,0.006804838310927153,-0.013401047326624393,-0.31637537479400635,0.007632568944245577,-0.006756933405995369,0,9,-994,-309,8,-5,-2,26,57,1500.0,60.0
17:18:48.532,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:48.734,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:48.979,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:49.182,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:49.386,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:49.592,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:49.794,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:49.996,LAND,-35.3632618,149.165235,7608,0.0038852866273373365,0.006901290267705917,-0.01392948254942894,-0.25771665573120117,-0.0027868077158927917,0.0019404436461627483,-1,16,-990,-250,-2,3,-2,25,51,1500.0,60.0
17:18:50.202,LAND,-35.3632618,149.1652355,7021,0.016626261174678802,0.004866554867476225,-0.014248363673686981,0.8196399211883545,-0.005102777853608131,-0.0016607970464974642,0,48,-1011,674,-2,6,-2,20,44,1500.0,60.0
17:18:50.407,LAND,-35.3632619,149.1652351,6683,0.03867802023887634,0.0035694772377610207,-0.013317602686583996,0.8610633611679077,0.009967269375920296,-0.00845280196517706,-3,9,-904,858,10,-6,-2,18,61,1500.0,120.0
17:18:50.610,LAND,-35.3632619,149.1652351,6683,0.03867802023887634,0.0035694772377610207,-0.013317602686583996,0.8610633611679077,0.009967269375920296,-0.00845280196517706,-3,9,-904,858,10,-6,-2,18,61,1500.0,120.0
17:18:50.813,LAND,-35.3632619,149.1652351,6683,0.03867802023887634,0.0035694772377610207,-0.013317602686583996,0.8610633611679077,0.009967269375920296,-0.00845280196517706,-3,9,-904,858,10,-6,-2,18,61,1500.0,120.0
17:18:51.017,LAND,-35.3632619,149.1652351,6683,0.03867802023887634,0.0035694772377610207,-0.013317602686583996,0.8610633611679077,0.009967269375920296,-0.00845280196517706,-3,9,-904,858,10,-6,-2,18,61,1500.0,120.0
