,A.LAND2
14:03:05.734,0.756
14:03:05.936,0.756
14:03:06.137,0.756
14:03:06.339,0.756
14:03:06.541,0.756
14:03:06.746,0.544
14:03:06.948,0.3
14:03:07.154,0.3
14:03:07.359,0.3
14:03:07.561,0.3
14:03:07.763,0.3
14:03:07.968,0.3
14:03:08.171,0.3
14:03:08.372,0.3
14:03:08.574,0.3
14:03:08.775,-1.0
14:03:08.977,-1.0
14:03:09.181,-1.0
14:03:09.385,-1.0
14:03:09.589,-1.0
14:03:09.792,-1.0
14:03:09.993,-1.0
14:03:10.199,-1.0
14:03:10.402,-1.0
14:03:10.604,-1.0
14:03:10.806,-1.0
14:03:11.007,-1.0
14:03:11.208,-1.0
14:03:11.411,-1.0
14:03:11.616,-1.0
14:03:11.817,-1.0
14:03:12.019,-1.0
14:03:12.221,-1.0
14:03:12.424,-1.0
14:03:12.628,-1.0
14:03:12.830,-1.0
14:03:13.031,-1.0
14:03:13.233,-1.0
14:03:13.440,-1.0
14:03:13.642,-1.0
14:03:13.844,-1.0
14:03:14.048,-1.0
