,A.BRAKE1
16:11:43.077,-1
16:11:43.279,-1
16:11:43.480,-1
16:11:43.682,-1
16:11:43.883,-1
16:11:44.084,-1
16:11:44.284,-1
16:11:44.486,-1
16:11:44.686,-1
16:11:44.887,-1
16:11:45.088,-1
16:11:45.289,-1
16:11:45.490,-1
16:11:45.691,-1
16:11:45.892,-1
16:11:46.094,-1
16:11:46.296,-1
16:11:46.499,-1
16:11:46.700,-1
16:11:46.901,-1
16:11:47.102,-1
16:11:47.304,-1
16:11:47.505,-1
16:11:47.706,-1
16:11:47.907,-1
16:11:48.108,-1
16:11:48.308,-1
16:11:48.509,-1
16:11:48.710,-1
16:11:48.911,-1
16:11:49.111,1
16:11:49.312,1
16:11:49.513,1
16:11:49.714,1
16:11:49.915,1
16:11:50.117,1
16:11:50.318,1
16:11:50.520,1
16:11:50.721,1
16:11:50.922,1
16:11:51.124,-1
16:11:51.325,-1
16:11:51.526,-1
16:11:51.727,-1
16:11:51.928,-1
16:11:52.129,-1
16:11:52.330,-1
16:11:52.531,-1
16:11:52.732,-1
16:11:52.933,-1
16:11:53.134,-1
16:11:53.336,-1
16:11:53.537,-1
16:11:53.739,-1
16:11:53.942,-1
16:11:54.143,-1
16:11:54.344,-1
16:11:54.546,-1
16:11:54.747,-1
16:11:54.949,-1
16:11:55.150,-1
16:11:55.350,-1
16:11:55.552,-1
16:11:55.753,-1
16:11:55.953,-1
16:11:56.154,-1
16:11:56.355,-1
16:11:56.556,-1
16:11:56.757,-1
16:11:56.958,-1
16:11:57.160,-1
16:11:57.361,-1
16:11:57.587,-1
16:11:57.789,-1
16:11:57.990,-1
16:11:58.191,-1
16:11:58.393,-1
16:11:58.594,-1
16:11:58.795,-1
16:11:58.996,-1
16:11:59.197,-1
16:11:59.398,-1
16:11:59.599,-1
16:11:59.800,-1
16:12:00.001,-1
16:12:00.202,-1
16:12:00.403,-1
16:12:00.603,-1
16:12:00.804,-1
16:12:01.005,-1
16:12:01.207,-1
16:12:01.408,-1
16:12:01.609,-1
16:12:01.810,-1
16:12:02.010,-1
16:12:02.211,-1
16:12:02.413,-1
16:12:02.615,-1
16:12:02.816,-1
16:12:03.018,-1
16:12:03.220,-1
16:12:03.421,-1
16:12:03.621,-1
16:12:03.822,-1
16:12:04.023,1
16:12:04.225,1
16:12:04.426,1
16:12:04.627,1
16:12:04.828,1
16:12:05.029,1
16:12:05.230,1
16:12:05.432,1
16:12:05.633,1
16:12:05.834,1
16:12:06.035,-1
16:12:06.236,-1
16:12:06.437,-1
16:12:06.638,-1
16:12:06.839,-1
16:12:07.044,-1
16:12:07.247,-1
16:12:07.452,-1
16:12:07.653,-1
16:12:07.854,-1
16:12:08.056,-1
16:12:08.257,-1
16:12:08.458,-1
16:12:08.658,-1
16:12:08.859,-1
16:12:09.061,-1
16:12:09.264,-1
16:12:09.466,-1
16:12:09.667,-1
16:12:09.868,-1
16:12:10.069,-1
16:12:10.270,-1
16:12:10.471,-1
16:12:10.672,-1
16:12:10.874,-1
16:12:11.076,-1
16:12:11.279,-1
16:12:11.480,-1
16:12:11.683,-1
16:12:11.884,-1
16:12:12.085,-1
16:12:12.287,-1
16:12:12.488,-1
16:12:12.689,-1
16:12:12.890,-1
16:12:13.092,-1
16:12:13.293,-1
16:12:13.494,-1
16:12:13.696,-1
16:12:13.897,-1
16:12:14.098,-1
16:12:14.300,-1
16:12:14.501,-1
16:12:14.702,-1
16:12:14.903,-1
16:12:15.105,-1
16:12:15.308,-1
16:12:15.509,-1
16:12:15.710,-1
16:12:15.911,-1
16:12:16.112,-1
