time_stamp,alt,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,MODE
11:33:16,597262.0,-35.36326092,149.16523664000002,13296.2,14.4,-8.6,-152.8,-0.010008940706029534,0.015861808601766825,-0.14241992086172103,0.02697471436113119,0.014774538483470679,-0.04026862345635891,-4.4,-1.2,-1001.2,27.4,15.2,-40.2,AUTO
11:33:17,598450.0,-35.3632602,149.1652356,14480.0,0.0,-9.0,-153.0,0.010499278083443642,0.020984014496207237,-0.1642158478498459,0.01653960719704628,-0.0038031311705708504,-0.01083461195230484,-2.0,1.0,-999.0,16.0,-3.0,-11.0,AUTO
11:33:18,600390.0,-35.36326082,149.16523516,16428.6,-11.0,5.4,-153.0,0.011528766062110663,0.007943337177857756,-0.16386824250221252,-0.008301404491066932,-0.010194034688174725,-0.0018733234261162578,1.4,0.4,-999.4,-7.0,-8.8,-2.2,AUTO
11:33:19,601560.0,-35.3632615,149.1652356,17599.0,-10.0,9.0,-153.0,0.004553106613457203,0.0009167747921310365,-0.16766637563705444,-0.006664065178483725,-0.004262926522642374,-0.015700288116931915,2.0,0.0,-1000.0,-5.0,-3.0,-16.0,AUTO
11:33:20,603370.0,-35.36326196,149.16523628,19404.8,-4.0,5.0,-153.2,0.0008096828300040215,-0.0008802420401480049,-0.1907078355550766,0.0008859766880050301,0.0014932837686501444,-0.024098680913448335,0.6,0.0,-1000.0,1.4,2.0,-24.0,AUTO
11:33:21,604540.0,-35.3632621,149.1652364,20579.0,-1.0,3.0,-154.0,0.0021427245810627937,0.0005474981153383851,-0.20947085320949554,0.003810153342783451,0.006020861677825451,-0.02679620310664177,0.0,0.0,-1000.0,4.0,6.0,-27.0,AUTO
11:33:22,606502.0,-35.3632621,149.16523651999998,22535.8,-1.0,2.4,-154.0,0.00406130850315094,0.0032663889694958927,-0.23912971019744872,0.0015428900776896625,0.0010669741546735167,-0.02203477770090103,0.0,0.0,-1000.2,2.0,1.4,-21.8,AUTO
11:33:23,607680.0,-35.3632621,149.1652366,23713.0,-1.0,3.0,-154.0,0.004119605291634798,0.0033699399791657925,-0.2543116509914398,-0.0016455620061606169,0.0007584545528516173,-0.01847795583307743,0.0,0.0,-999.0,0.0,1.0,-18.0,AUTO
11:33:24,609632.0,-35.363262260000006,149.1652367,25665.4,-1.4,1.2,-153.2,-0.0012025282019749283,0.003425668511772528,-0.26119210124015807,0.002811766415834427,0.01018811585381627,0.00875830901786685,0.0,0.0,-1000.4,3.4,10.8,8.0,AUTO
11:33:25,610810.0,-35.3632619,149.165237,26848.0,-3.0,0.0,-154.0,-0.0014808389823883772,0.012739035300910473,-0.24556121230125427,-0.007782336324453354,0.015634089708328247,0.023038430139422417,0.0,0.0,-1001.0,-7.0,16.0,22.0,AUTO
11:33:26,612768.0,-35.363261539999996,149.16523748,28803.8,-8.2,4.4,-154.0,0.0016432208241894842,0.009593421593308449,-0.21281106173992156,0.0015839303145185114,-0.010955301951617003,0.022153592854738235,1.4,1.6,-1001.0,2.0,-9.6,21.2,AUTO
11:33:27,613930.0,-35.3632616,149.1652378,29962.0,-7.0,6.0,-153.0,-0.00034667059662751853,0.002721514320001006,-0.19672611355781555,-0.016548871994018555,0.011776698753237724,0.008659501560032368,3.0,2.0,-999.0,-15.0,12.0,8.0,AUTO
11:33:28,615860.0,-35.36326486,149.1652376,31894.0,-0.2,8.6,-153.6,0.01810931283980608,-0.03353411350399256,-0.1558414101600647,0.012689188309013843,-0.03603596873581409,0.04994085654616356,1.25,0.5,-1000.0,18.75,-40.0,50.75,AUTO
11:33:29,617030.0,-35.363266,149.1652377,33062.0,23.0,12.0,-152.0,0.014841238968074322,-0.04918139427900314,-0.12611697614192963,-0.023493964225053787,0.01699838601052761,0.01296971645206213,-3.0,-4.5,-998.0,-14.5,2.0,28.0,AUTO
11:33:30,618756.0,-35.363262840000004,149.16523786,34791.6,23.2,-3.0,-147.0,0.0013067639898508786,0.014985145581886173,-0.13333183228969575,0.010230813920497895,0.03454795349389315,0.018413221463561058,-8.6,-5.4,-1001.4,11.0,35.0,18.0,AUTO
11:33:31,619890.0,-35.3632605,149.1652376,35920.0,5.0,0.0,-147.0,0.007090072613209486,0.033777497708797455,-0.12365860491991043,0.02173374593257904,0.009320365265011787,0.0045439316891133785,-6.0,-4.0,-1003.0,22.0,10.0,4.0,AUTO
11:33:32,621864.0,-35.3632596,149.16523754,37897.8,-18.4,5.0,-148.0,0.003140615299344063,0.022415077313780785,-0.10796131938695908,-0.006283139646984637,-0.015267743915319442,0.00753645186778158,1.8,0.0,-999.6,-5.2,-13.8,7.0,AUTO
11:33:33,623070.0,-35.36326,149.1652377,39107.0,-21.0,4.0,-150.0,-0.0026243103202432394,0.0071335737593472,-0.10213396698236465,-0.008567214012145996,-0.005261667538434267,-0.008657610975205898,4.0,1.0,-1000.0,-7.0,-4.0,-8.0,AUTO
11:33:34,624855.0,-35.363223275,149.1652803,40886.0,-12.5,-3.5,-151.0,-0.005851213587448001,-0.00573112434358336,-0.11596271395683289,0.0034680680255405605,-0.010184014565311372,-0.015431259060278535,3.5,1.5,-1000.25,4.0,-8.5,-15.0,AUTO
11:33:38,628345.0,-35.363232950000004,149.16528425,44380.333333333336,8.0,8.0,-149.83333333333334,0.0015330954823487748,-0.053800463366011776,-0.0607565602598091,-0.010675330103064576,-0.04484318165729443,0.08451287200053532,-4.0,-2.1666666666666665,-998.3333333333334,-9.166666666666666,-43.666666666666664,84.16666666666667,AUTO
11:33:40,631291.6666666666,-35.36323529999999,149.16528556666665,47328.0,71.66666666666667,-31.833333333333332,-143.5,-0.04407554740707079,-0.05162156342218319,0.07224284950643778,-0.057538736068333186,0.03993763526280721,0.1216007520755132,-29.666666666666668,-2.6666666666666665,-989.5,-56.333333333333336,40.0,121.33333333333333,AUTO
11:33:42,633406.6666666666,-35.36322236666666,149.16527366666668,49439.166666666664,15.166666666666666,-21.166666666666668,-64.66666666666667,0.09333909923831622,0.028763633027362328,0.2595350717504819,0.01674126461148262,0.04745275340974331,0.01081264934812983,-26.0,5.833333333333333,-983.1666666666666,17.166666666666668,47.833333333333336,11.5,AUTO
11:33:44,634131.6666666666,-35.36321648333333,149.16527583333334,50167.666666666664,-67.66666666666667,62.333333333333336,-3.5,0.060045878713329635,0.04378912535806497,0.22429153323173523,0.14955523858467737,-0.029961909477909405,-0.04198345091814796,14.833333333333334,0.3333333333333333,-958.0,150.83333333333334,-28.0,-41.0,LOITER
11:33:46,632708.3333333334,-35.36321803333333,149.16527653333335,48743.166666666664,-36.5,37.166666666666664,171.16666666666666,0.08336008574891214,0.052957943019767605,0.18662744263807932,1.2239378133478265,0.14656123707148558,0.012204580785085758,26.333333333333332,41.0,-933.6666666666666,1226.8333333333333,148.0,12.333333333333334,LOITER
11:33:48,629156.6666666666,-35.36321913333333,149.16528243333332,45192.5,-122.16666666666667,105.16666666666667,164.66666666666666,-0.04864382122953733,0.00849893099317948,0.17276602735122046,-0.49513888359069824,-0.17089050387342772,-0.051925289599845804,67.5,-53.5,-1020.5,-499.1666666666667,-168.5,-51.5,AUTO
11:33:50,626448.3333333334,-35.36323925,149.16528730000002,42481.166666666664,66.66666666666667,-47.666666666666664,21.0,0.014755336567759514,-0.12438873077432315,0.15242443978786469,0.39913178359468776,-0.00032035703770816326,-0.0010981423159440358,-1.8333333333333333,17.333333333333332,-1075.0,401.1666666666667,0.3333333333333333,-0.3333333333333333,AUTO
11:33:52,626458.3333333334,-35.36323541666667,149.16529304999997,42493.833333333336,69.5,33.833333333333336,-6.333333333333333,0.08199221144119899,0.02731763059273362,0.39116685340801877,0.057846794525782265,0.0998292788863182,0.522060783735166,-14.333333333333334,-16.333333333333332,-1009.5,59.833333333333336,99.66666666666667,522.5,AUTO
11:33:54,626770.0,-35.36327646666667,149.16527986666668,42805.666666666664,-132.0,271.3333333333333,22.333333333333332,0.05601034282396237,-0.24540471161405245,1.638739248116811,-0.2505007789780696,0.22454562348624071,0.6127532124519348,-58.166666666666664,-70.16666666666667,-1063.8333333333333,-247.66666666666666,225.66666666666666,612.6666666666666,AUTO
11:33:56,626806.6666666666,-35.36332401666667,149.16537903333332,42840.0,-67.0,252.5,-7.666666666666667,0.13416359201073647,0.36741427580515545,2.455237070719401,0.18619233121474585,-0.0032167546451091766,-0.060714587569236755,20.333333333333332,45.333333333333336,-1037.8333333333333,190.16666666666666,-2.5,-60.166666666666664,AUTO
11:33:58,626880.0,-35.36328771666667,149.1653386,42914.666666666664,48.666666666666664,71.5,-73.66666666666667,-0.17400181417663893,-0.47329485913117725,2.4771857261657715,-0.03434910128513972,-0.22661393725623688,-0.03064893636231621,28.166666666666668,61.5,-1112.8333333333333,-30.0,-225.66666666666666,-30.0,AUTO
11:34:00,627453.3333333334,-35.36328685,149.16538743333334,43488.166666666664,-233.33333333333334,408.5,-69.5,0.2894014089057843,-0.1998102863629659,2.40859321753184,0.3680049826701482,0.058576151728630066,0.03920496255159378,-113.16666666666667,-3.1666666666666665,-1057.0,369.8333333333333,59.0,40.0,AUTO
11:34:02,628063.3333333334,-35.36336796666667,149.16545715,44098.166666666664,-587.5,271.0,-48.833333333333336,-0.06267041712999344,-0.1112920919743677,2.5424931049346924,-0.43104632447163266,0.3453421890735626,-0.03914386856680115,-125.83333333333333,-107.5,-1124.6666666666667,-428.1666666666667,345.6666666666667,-39.166666666666664,LOITER
11:34:04,627383.3333333334,-35.363446749999994,149.16555386666667,43418.166666666664,-81.83333333333333,266.8333333333333,91.66666666666667,0.07821226213127375,0.3287612547477086,2.3098241090774536,-0.9656584157298008,-0.04119013870755831,0.0905351700882117,-50.666666666666664,-54.333333333333336,-970.0,-965.3333333333334,-39.666666666666664,89.66666666666667,LAND
11:34:06,623946.6666666666,-35.36344755,149.1655535,39980.833333333336,-10.5,-173.66666666666666,54.5,0.05685847376783689,0.06495493526260059,2.299143115679423,-0.2515202909708023,-0.06441640636573236,-0.0015088992659002542,43.0,-10.666666666666666,-1072.5,-248.66666666666666,-62.5,-1.6666666666666667,LAND
11:34:08,623395.0,-35.36342255,149.16553538333332,39429.666666666664,21.333333333333332,-95.16666666666667,-5.0,-0.006740097946021706,-0.00808152164487789,2.295722564061483,-0.1008796493212382,0.010015925314898292,-0.00852216500788927,28.666666666666668,-20.166666666666668,-1013.0,-97.5,11.0,-8.666666666666666,LAND
11:34:11,623336.0,-35.36338498,149.16552675999998,39368.8,-15.6,-20.0,81.6,-0.01817848812788725,0.0015878413338214158,2.2910602569580076,-1.0123032536357641,-0.0024002848193049433,0.004161919839680195,12.2,-42.6,-937.0,-1004.8,-0.6,3.6,LAND
11:34:13,620116.6666666666,-35.363395450000006,149.16552391666667,36151.333333333336,-19.666666666666668,19.5,110.83333333333333,0.005194014695007354,0.0014931045200986166,2.287079612414042,-0.3984159181515376,0.0019096113586177428,-0.00015281705418601632,2.0,-76.83333333333333,-955.1666666666666,-403.0,3.3333333333333335,-1.1666666666666667,LAND
11:34:15,616901.6666666666,-35.36340573333333,149.16552878333334,32935.833333333336,-29.0,37.333333333333336,219.0,0.0013019307128464181,0.0006363101080448056,2.2847439448038735,-0.9413058832287788,0.00011067986876393358,-0.0007737758763444921,-1.1666666666666667,-76.83333333333333,-931.1666666666666,-941.3333333333334,2.3333333333333335,-2.0,LAND
