,RTL_ALT,ARMING_ACCTHRESH,ZIGZ_SIDE_DIST,CAM_SERVO_ON,FENCE_RADIUS,MOT_BOOST_SCALE,ATC_SLEW_YAW,CAM_SERVO_OFF,CHUTE_ALT_MIN,RTL_CLIMB_MIN,OA_DB_ALT_MIN,RTL_SPEED,RTL_CONE_SLOPE,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG,RNGFND7_WSP_MAVG
17:23:12.014,114659.0,0.25,0.1,1000.0,30.0,2.6,500.0,1000.0,26843.0,1250.0,0.0,0.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:16.031,23656.0,0.25,0.1,1000.0,30.0,2.5,10800.0,1000.0,0.0,3000.0,0.0,1250.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:20.051,71152.0,0.25,0.1,1000.0,30.0,5.1,6800.0,1000.0,14843.0,3000.0,0.0,1600.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:24.066,53055.0,0.25,0.1,1000.0,30.0,2.3,500.0,1000.0,19294.0,3000.0,0.0,1400.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:28.090,161795.0,0.25,0.1,1000.0,30.0,2.0,12800.0,1000.0,0.0,2920.0,0.0,1250.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:32.106,200.0,0.25,0.1,1000.0,30.0,1.2,8300.0,1000.0,5554.0,3000.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:36.135,271503.0,0.25,0.1,1000.0,30.0,0.0,2700.0,1000.0,0.0,2060.0,0.0,550.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:40.156,154733.0,0.25,0.1,1000.0,30.0,3.7,500.0,1000.0,0.0,0.0,0.0,1300.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:44.185,207814.0,0.25,0.1,1000.0,30.0,4.6,8700.0,1000.0,25205.0,2160.0,0.0,400.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:48.198,200.0,0.25,0.1,1000.0,30.0,2.6,18000.0,1000.0,4364.0,2520.0,0.0,550.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:52.225,264558.0,0.25,0.1,1000.0,30.0,1.7,17000.0,1000.0,7554.0,0.0,0.0,500.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:23:56.241,23814.0,0.25,0.1,1000.0,30.0,3.1,18000.0,1000.0,14642.0,1860.0,0.0,700.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:00.261,88434.0,0.25,0.1,1000.0,30.0,3.3,2400.0,1000.0,30044.0,1630.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17:24:04.291,300000.0,0.25,0.1,1000.0,30.0,4.0,18000.0,1000.0,8983.0,2260.0,0.0,1450.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
