,LOIT_BRK_DELAY,WPNAV_TER_MARGIN,LOIT_BRK_ACCEL,CHUTE_DELAY_MS,GUID_TIMEOUT,SERVO_ROB_POSMAX,SERVO_ROB_POSMIN,EK2_BCN_DELAY,EK2_FLOW_DELAY,EK3_FLOW_DELAY,BARO_FLTR_RNG,COMPASS_FLTR_RNG,H_RSC_AROT_PCT,BATT2_LOW_TIMER,BATT3_LOW_TIMER,BATT4_LOW_TIMER,BATT5_LOW_TIMER,BATT6_LOW_TIMER,BATT7_LOW_TIMER,BATT8_LOW_TIMER,BATT9_LOW_TIMER,BATT_LOW_TIMER,DISARM_DELAY,OSD_MSG_TIME,EK2_TAU_OUTPUT
21:41:22.731,0.3,0.1,50.0,620.0,0.1,0.0,0.0,10.0,70.0,20.0,87.0,45.0,14.0,91.0,114.0,116.0,84.0,17.0,25.0,38.0,73.0,67.0,0.0,1.0,20.0
21:41:27.440,1.3,0.1,41.0,970.0,0.1,0.0,0.0,20.0,80.0,20.0,10.0,8.0,13.0,21.0,58.0,21.0,33.0,31.0,7.0,118.0,99.0,38.0,0.0,1.0,50.0
21:41:32.596,0.9,0.1,128.0,957.0,0.1,0.0,0.0,40.0,20.0,120.0,93.0,35.0,19.0,15.0,90.0,52.0,69.0,6.0,89.0,34.0,29.0,9.0,0.0,1.0,35.0
21:41:37.043,0.7,0.1,124.0,117.0,0.1,0.0,0.0,40.0,10.0,190.0,58.0,32.0,18.0,43.0,89.0,21.0,37.0,39.0,85.0,113.0,39.0,17.0,0.0,1.0,25.0
21:41:43.874,0.3,0.1,50.0,1153.0,0.1,0.0,0.0,20.0,20.0,240.0,25.0,42.0,15.0,31.0,27.0,25.0,42.0,50.0,45.0,91.0,84.0,31.0,0.0,1.0,35.0
21:41:48.609,0.3,0.1,30.0,4208.0,0.1,0.0,0.0,40.0,20.0,110.0,19.0,96.0,2.0,101.0,73.0,13.0,74.0,8.0,14.0,46.0,41.0,114.0,0.0,1.0,30.0
21:41:53.746,0.2,0.1,241.0,297.0,0.1,0.0,0.0,130.0,10.0,210.0,28.0,1.0,19.0,111.0,42.0,82.0,34.0,13.0,41.0,12.0,31.0,21.0,0.0,1.0,30.0
21:41:58.916,0.4,0.1,161.0,435.0,0.1,0.0,0.0,130.0,130.0,30.0,47.0,41.0,21.0,60.0,3.0,2.0,62.0,58.0,23.0,29.0,27.0,86.0,0.0,1.0,25.0
21:42:04.022,1.2,0.1,50.0,760.0,0.1,0.0,0.0,10.0,40.0,30.0,13.0,2.0,25.0,60.0,33.0,10.0,76.0,57.0,5.0,103.0,110.0,120.0,0.0,1.0,40.0
21:42:08.449,0.7,0.1,154.0,2694.0,0.1,0.0,0.0,10.0,40.0,60.0,24.0,37.0,17.0,31.0,19.0,9.0,86.0,15.0,83.0,53.0,104.0,11.0,0.0,1.0,30.0
21:42:12.767,0.7,0.1,177.0,4689.0,0.1,0.0,0.0,20.0,10.0,250.0,38.0,2.0,13.0,42.0,82.0,8.0,63.0,30.0,15.0,12.0,29.0,5.0,0.0,1.0,35.0
21:42:17.828,1.5,0.1,90.0,1112.0,0.1,0.0,0.0,20.0,70.0,80.0,29.0,21.0,13.0,19.0,17.0,58.0,33.0,4.0,90.0,42.0,17.0,11.0,0.0,1.0,35.0
21:42:22.554,0.4,0.1,42.0,3520.0,0.1,0.0,0.0,130.0,20.0,10.0,96.0,13.0,12.0,65.0,49.0,9.0,8.0,2.0,90.0,43.0,6.0,111.0,0.0,1.0,15.0
21:42:26.935,1.3,0.1,44.0,2661.0,0.1,0.0,0.0,70.0,100.0,160.0,84.0,93.0,5.0,13.0,29.0,60.0,13.0,35.0,31.0,106.0,11.0,41.0,0.0,1.0,30.0
21:42:31.674,0.7,0.1,61.0,2905.0,0.1,0.0,0.0,100.0,40.0,60.0,3.0,6.0,12.0,38.0,49.0,4.0,17.0,50.0,19.0,33.0,106.0,23.0,0.0,1.0,15.0
21:42:36.550,1.9,0.1,50.0,3899.0,0.1,0.0,0.0,80.0,10.0,20.0,52.0,75.0,15.0,12.0,83.0,13.0,21.0,50.0,42.0,17.0,45.0,23.0,0.0,1.0,40.0
21:42:41.172,0.3,0.1,93.0,4175.0,0.1,0.0,0.0,70.0,70.0,60.0,83.0,21.0,25.0,61.0,2.0,27.0,2.0,68.0,91.0,38.0,3.0,45.0,0.0,1.0,20.0
21:42:47.080,2.0,0.1,116.0,620.0,0.1,0.0,0.0,10.0,130.0,180.0,63.0,16.0,18.0,84.0,3.0,52.0,21.0,15.0,25.0,61.0,58.0,49.0,0.0,1.0,45.0
21:42:52.578,1.8,0.1,166.0,431.0,0.1,0.0,0.0,70.0,80.0,60.0,51.0,32.0,7.0,4.0,60.0,33.0,30.0,34.0,37.0,56.0,41.0,31.0,0.0,1.0,40.0
21:42:56.961,0.7,0.1,86.0,505.0,0.1,0.0,0.0,50.0,10.0,250.0,11.0,69.0,2.0,30.0,62.0,42.0,50.0,43.0,13.0,100.0,57.0,19.0,0.0,1.0,15.0
21:43:02.377,0.5,0.1,101.0,2643.0,0.1,0.0,0.0,40.0,40.0,100.0,24.0,26.0,7.0,56.0,37.0,57.0,45.0,77.0,34.0,39.0,58.0,25.0,0.0,1.0,15.0
21:43:06.771,0.7,0.1,159.0,1643.0,0.1,0.0,0.0,20.0,80.0,80.0,89.0,61.0,25.0,9.0,62.0,46.0,13.0,2.0,17.0,29.0,15.0,45.0,0.0,1.0,45.0
