time_stamp,MODE,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,lat,lon,relative_alt,vx,vy,vz,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
01:56:08,RTL,-0.25,-67.0,-1011.0,-819.0,3.0,-0.25,151876.0,-35.3632623,149.165236875,200354.0,1.0,0.25,99.5,0.010077080922201276,-0.0007160573950386606,0.10167455486953259,-0.8181087821722031,0.0014558792463503778,-0.0034132780856452882
01:56:09,RTL,-0.5,-70.0,-1005.0,-1171.5,1.0,1.0,151876.0,-35.3632623,149.16523695,199590.0,1.0,3.0,97.0,-0.00899941986426711,-0.00047807558439671993,0.10090914741158485,-1.171204686164856,-0.00032606138847768307,-0.001897584181278944
01:56:11,RTL,-1.0,-59.5,-1000.0,-1424.5,1.0,1.5,140277.0,-35.3632622,149.16523645,197551.5,0.0,6.5,99.0,-0.008987596724182367,-0.0011073608184233308,0.10123839229345322,-1.4251396656036377,-0.0003364925505593419,-0.001705785165540874
01:56:13,RTL,1.0,46.0,-1025.5,248.5,-1.0,7.0,140277.0,-35.3632621,149.16523565,195501.5,0.0,17.0,102.0,-0.0027800389798358083,0.0009555401920806617,0.10213746502995491,0.24617664515972137,-0.0025302174035459757,0.003955094609409571
01:56:14,RTL,0.25,55.75,-989.5,375.25,3.5,5.0,7205.0,-35.3632621,149.16523667500002,194218.75,0.0,12.25,99.0,-0.010429676272906363,0.0024631875567138195,0.1013010498136282,0.3728321045637131,0.0020462535903789103,0.001948760123923421
01:56:15,RTL,0.5,66.0,-1014.0,1205.5,2.0,8.0,7205.0,-35.3632621,149.1652373,193459.0,0.0,7.5,96.0,0.0033947547781281173,0.0019454520661383867,0.1015440821647644,1.2036241292953491,0.000640810641925782,0.004833551123738289
01:56:17,RTL,2.0,27.0,-977.0,1164.5,-1.5,4.5,146813.0,-35.36326235,149.16523899999999,191425.5,1.0,-5.0,100.5,0.002849085256457329,0.0007463679066859186,0.10180152952671051,1.1651467084884644,-0.002849633136065677,0.0015796289080753922
01:56:19,RTL,0.0,-56.5,-973.0,-330.5,0.0,1.0,146813.0,-35.363262649999996,149.16524005000002,189385.0,3.5,-20.0,102.0,-0.004370299051515758,-0.002120753866620362,0.10117076709866524,-0.3292441740632057,-0.0011975094967056066,-0.002044529072009027
01:56:20,RTL,-0.75,-70.0,-1000.0,-1322.5,-0.25,2.5,292796.0,-35.3632627,149.16523955000002,188104.25,3.75,-19.5,99.5,-0.018345376942306757,-0.002294649719260633,0.1016826294362545,-1.3218541145324707,-0.0021119964658282697,-0.0002490069018676877
01:56:21,RTL,-0.5,-74.0,-988.5,-1246.5,2.0,-1.0,292796.0,-35.3632626,149.16523899999999,187337.5,4.0,-17.0,98.0,-0.011504414957016706,-0.0023754460271447897,0.10174508020281792,-1.2459926009178162,0.0006211512954905629,-0.004296718630939722
01:56:23,RTL,-1.5,13.5,-1005.0,-577.5,4.5,3.5,115621.0,-35.3632625,149.16523855,185290.0,3.0,-9.0,99.0,-0.022084352560341358,-0.0011250781826674938,0.10144442692399025,-0.5798836797475815,0.0035225074971094728,0.0009910868247970939
01:56:25,RTL,-1.5,18.5,-993.0,-452.5,5.0,-0.5,115621.0,-35.36326235,149.16523719999998,183252.0,1.0,-1.5,97.5,-0.00864122319035232,-0.0021208823891356587,0.1014249436557293,-0.4547773748636246,0.00418152310885489,-0.00364337966311723
01:56:26,RTL,-0.25,47.5,-999.75,384.0,4.75,2.0,213754.0,-35.3632623,149.1652365,181964.0,1.0,5.75,98.25,-6.094790296629071e-05,-0.00043871699745068327,0.10178206115961075,0.38203248754143715,0.003867344988975674,-0.0006833799416199327
01:56:27,RTL,1.0,71.0,-1007.0,1051.5,5.5,13.5,213754.0,-35.3632623,149.16523669999998,181192.0,1.0,9.0,97.5,0.0047660720301792026,0.0012171374110039324,0.10085249319672585,1.050027757883072,0.0044352131662890315,0.011129704304039478
01:56:29,RTL,0.0,55.0,-1048.0,1387.0,-8.0,5.0,168459.0,-35.3632624,149.16523755,179160.5,1.0,0.0,99.0,0.01585461525246501,-0.0023754186113364995,0.10141237825155258,1.38756263256073,-0.010019584093242884,0.002082981343846768
01:56:31,RTL,-0.5,-59.0,-957.0,-525.5,0.0,-7.5,168459.0,-35.3632623,149.1652359,177018.5,1.0,7.0,98.5,0.019674540497362614,-0.0007598295633215457,0.10064662992954254,-0.5242079496383667,-0.0015196020249277353,-0.0109684350900352
01:56:32,RTL,3.75,-37.75,-1003.75,86.75,0.0,-6.75,241425.0,-35.3632622,149.1652363,175843.5,1.0,10.75,97.5,0.015136041794903576,0.0027004988805856556,0.10276452079415321,0.08814202900975943,-0.0012727509019896388,-0.010224309953628108
01:56:33,RTL,4.0,-64.0,-978.0,-498.5,1.5,-9.0,241425.0,-35.3632622,149.16523775000002,175086.0,1.0,7.0,98.0,-0.005296760384226218,0.005137575324624777,0.10203822329640388,-0.4970118850469589,0.0001381679903715849,-0.012565620709210634
01:56:35,RTL,0.5,-74.0,-993.5,-1227.5,1.0,-5.0,177011.0,-35.36326245,149.1652405,173043.5,1.5,-20.0,99.0,-0.02781710773706436,-0.0001747318328852998,0.10188436508178711,-1.2265767455101013,-0.00024017697433009744,-0.008656682213768363
01:56:37,RTL,-1.0,59.5,-983.0,527.0,4.0,3.0,177011.0,-35.3632626,149.16523955000002,170921.0,2.5,-17.5,101.5,-0.011378983035683632,-0.0022618951043114066,0.10227292031049728,0.5257437899708748,0.0029930979944765568,-0.0003700869856402278
01:56:38,RTL,-0.25,48.0,-1013.25,1280.0,1.5,3.5,262631.0,-35.363262575,149.165239325,169643.5,3.0,-14.0,100.25,0.007658880320377648,-0.0007010294393694494,0.1020814310759306,1.2811554074287415,0.0005390808219090104,0.0009312479523941875
01:56:39,RTL,0.0,8.5,-1039.0,923.0,-2.0,0.5,262631.0,-35.3632625,149.16523925,168869.5,3.0,-15.0,101.0,0.009210536954924464,-0.0009317187068518251,0.1013367809355259,0.9252012073993683,-0.003975162748247385,-0.0018833469366654754
01:56:41,RTL,-1.5,-65.0,-976.5,-768.5,-0.5,4.5,110494.0,-35.3632624,149.1652384,166808.5,1.0,-10.0,97.5,0.0003374872321728617,-0.0012013799860142171,0.10126819834113121,-0.7660517394542694,-0.002155249996576458,0.002007343398872763
01:56:43,RTL,-4.0,-43.0,-989.5,-1331.5,0.0,2.5,110494.0,-35.3632622,149.16523525,164774.5,0.0,6.5,99.0,0.005909722880460322,-0.00553919211961329,0.10114842280745506,-1.3316808342933655,-0.0012928994838148355,0.00017654430121183395
01:56:44,RTL,-2.0,13.5,-997.5,-567.75,4.25,2.25,87785.0,-35.363262025,149.165232775,163507.25,-1.0,28.75,99.5,0.023146602790802717,-0.0045278629986569285,0.10167509317398071,-0.5695449039340019,0.003150336939143017,4.3067848309874535e-05
01:56:45,RTL,-1.0,34.5,-985.0,-171.5,3.5,7.0,87785.0,-35.363261949999995,149.16523189999998,162742.5,-1.0,40.0,100.5,0.024052427150309086,-0.0022974369348958135,0.10213325172662735,-0.17399948835372925,0.002634271077113226,0.004345098976045847
01:56:47,RTL,0.0,67.5,-1022.5,1060.0,0.0,9.5,215115.0,-35.3632619,149.16523254999998,160701.0,-2.0,46.5,97.5,0.027993863448500633,-0.00016536808107048273,0.10220665484666824,1.0585168898105621,-0.0016385031049139798,0.006840769201517105
01:56:49,RTL,-0.5,64.5,-1040.5,1214.0,3.0,6.0,215115.0,-35.3632619,149.16523285,158673.0,-2.5,42.5,98.5,0.037573473528027534,-0.00047221775457728654,0.1014447957277298,1.2119178771972656,0.0018408299656584859,0.004003031179308891
01:56:50,RTL,0.0,28.75,-995.0,1222.25,-0.25,5.5,49241.0,-35.3632619,149.16523275,157407.25,-3.0,41.25,101.25,0.051371906884014606,-0.0004428957436175551,0.10168251767754555,1.2215921878814697,-0.0011628122156253085,0.002959627832751721
01:56:51,RTL,0.5,29.0,-991.0,1213.0,3.0,7.5,49241.0,-35.3632619,149.1652326,156635.5,-2.0,43.0,101.0,0.052330439910292625,0.00019499532474753778,0.10166139528155327,1.2117186188697815,0.002262241847347468,0.004851005272939801
01:56:53,RTL,1.5,-69.0,-1014.0,-1281.0,8.0,-9.0,19802.0,-35.3632619,149.16523365,154596.5,-1.5,37.0,100.0,0.007036742754280567,0.0022156565682962537,0.1026141494512558,-1.2835103273391724,0.007125743897631764,-0.012017118744552135
01:56:55,RTL,1.0,-52.5,-1049.5,-1256.5,-2.0,-2.5,19802.0,-35.3632622,149.16523660000001,152550.0,0.0,17.5,98.0,-0.019541998393833637,0.0010670862975530326,0.10238390415906906,-1.2601932287216187,-0.003771129180677235,-0.005887912353500724
