,A.AUTO1
17:11:31.813,-1
17:11:32.014,-1
17:11:32.216,-1
17:11:32.417,-1
17:11:32.619,-1
17:11:32.821,-1
17:11:33.023,-1
17:11:33.224,-1
17:11:33.425,-1
17:11:33.626,-1
17:11:33.829,-1
17:11:34.031,-1
17:11:34.232,-1
17:11:34.433,-1
17:11:34.635,-1
17:11:34.835,-1
17:11:35.036,-1
17:11:35.237,-1
17:11:35.438,-1
17:11:35.640,-1
17:11:35.842,-1
17:11:36.044,-1
17:11:36.245,-1
17:11:36.448,-1
17:11:36.650,-1
17:11:36.853,-1
17:11:37.056,-1
17:11:37.258,-1
17:11:37.461,-1
17:11:37.665,-1
17:11:37.872,-1
17:11:38.075,-1
17:11:38.276,-1
17:11:38.478,-1
17:11:38.679,-1
17:11:38.881,-1
17:11:39.082,-1
17:11:39.283,-1
17:11:39.485,-1
17:11:39.686,-1
17:11:39.887,-1
17:11:40.088,-1
17:11:40.289,-1
17:11:40.490,-1
17:11:40.691,-1
17:11:40.892,-1
17:11:41.095,-1
17:11:41.297,-1
17:11:41.502,-1
17:11:41.706,-1
17:11:41.909,-1
17:11:42.113,-1
17:11:42.315,-1
17:11:42.517,-1
17:11:42.721,-1
17:11:42.922,-1
17:11:43.123,-1
17:11:43.324,-1
17:11:43.526,-1
17:11:43.728,-1
17:11:43.930,-1
17:11:44.131,-1
17:11:44.333,-1
17:11:44.534,-1
17:11:44.735,-1
17:11:44.936,-1
17:11:45.137,-1
17:11:45.338,-1
17:11:45.539,-1
17:11:45.741,-1
17:11:45.943,-1
17:11:46.144,-1
17:11:46.347,-1
17:11:46.550,-1
17:11:46.751,-1
17:11:46.953,-1
17:11:47.155,-1
17:11:47.356,-1
17:11:47.558,-1
17:11:47.759,-1
17:11:47.962,-1
17:11:48.163,-1
17:11:48.364,-1
17:11:48.565,-1
17:11:48.766,-1
17:11:48.967,-1
17:11:49.168,-1
17:11:49.371,-1
17:11:49.572,-1
17:11:49.773,-1
17:11:49.975,-1
17:11:50.176,-1
17:11:50.379,-1
17:11:50.581,-1
17:11:50.783,-1
17:11:50.984,-1
17:11:51.188,-1
17:11:51.396,-1
17:11:51.598,-1
17:11:51.800,-1
17:11:52.002,-1
17:11:52.204,-1
17:11:52.405,-1
17:11:52.607,-1
17:11:52.808,-1
17:11:53.009,-1
17:11:53.210,-1
17:11:53.413,-1
17:11:53.614,-1
17:11:53.815,-1
17:11:54.016,-1
17:11:54.217,-1
17:11:54.418,-1
17:11:54.620,-1
17:11:54.821,-1
17:11:55.023,-1
17:11:55.225,-1
17:11:55.430,-1
17:11:55.632,-1
17:11:55.835,-1
17:11:56.039,-1
17:11:56.241,-1
17:11:56.442,-1
17:11:56.643,-1
17:11:56.844,-1
17:11:57.046,-1
17:11:57.247,-1
17:11:57.450,-1
17:11:57.651,-1
17:11:57.854,-1
17:11:58.054,-1
17:11:58.256,-1
17:11:58.457,-1
17:11:58.659,-1
17:11:58.859,-1
17:11:59.060,-1
17:11:59.261,-1
