,A.LOITER1
11:42:00.369,1.0
11:42:00.583,1.0
11:42:00.790,1.0
11:42:00.998,1.0
11:42:01.202,1.0
11:42:01.407,1.0
11:42:01.611,1.0
11:42:01.821,1.0
11:42:02.026,1.0
11:42:02.231,1.0
11:42:02.435,1.0
11:42:02.640,1.0
11:42:02.846,1.0
11:42:03.052,1.0
11:42:03.255,1.0
11:42:03.458,1.0
11:42:03.662,1.0
11:42:03.866,1.0
11:42:04.069,1.0
11:42:04.272,1.0
11:42:04.479,1.0
11:42:04.684,1.0
11:42:04.890,1.0
11:42:05.093,-1.0
11:42:05.301,-1.0
11:42:05.504,-1.0
11:42:05.708,-1.0
11:42:05.911,-1.0
11:42:06.118,-1.0
11:42:06.324,-1.0
11:42:06.532,-1.0
11:42:06.735,-1.0
11:42:06.937,-1.0
11:42:07.142,-1.0
11:42:07.345,-1.0
11:42:07.550,-1.0
11:42:07.758,-1.0
11:42:07.961,-1.0
11:42:08.167,-1.0
11:42:08.369,-1.0
11:42:08.578,-1.0
11:42:08.781,-1.0
11:42:08.985,-1.0
11:42:09.196,-1.0
11:42:09.408,-1.0
11:42:09.612,-1.0
11:42:09.820,-1.0
11:42:10.025,-1.0
11:42:10.227,-1.0
11:42:10.429,-1.0
11:42:10.632,-1.0
11:42:10.839,-1.0
11:42:11.043,-1.0
11:42:11.246,-1.0
11:42:11.454,-1.0
11:42:11.661,-1.0
11:42:11.867,-1.0
11:42:12.070,-1.0
11:42:12.275,-1.0
11:42:12.479,-1.0
11:42:12.684,-1.0
11:42:12.890,-1.0
11:42:13.106,-1.0
11:42:13.309,-1.0
11:42:13.512,-1.0
11:42:13.718,-1.0
11:42:13.921,-1.0
11:42:14.126,-1.0
11:42:14.328,-1.0
11:42:14.531,-1.0
11:42:14.733,-1.0
11:42:14.944,-1.0
11:42:15.149,-1.0
11:42:15.354,-1.0
11:42:15.559,-1.0
11:42:15.761,-1.0
11:42:15.972,1.0
11:42:16.176,1.0
11:42:16.380,1.0
11:42:16.583,1.0
11:42:16.786,1.0
11:42:18.199,1.0
11:42:18.403,1.0
11:42:18.605,1.0
11:42:18.811,0.297
11:42:19.014,-1.0
11:42:19.218,-1.0
11:42:19.422,-1.0
11:42:19.625,-1.0
11:42:19.832,-1.0
11:42:20.044,-1.0
11:42:20.247,-1.0
11:42:20.456,-1.0
11:42:20.662,-1.0
11:42:20.868,-1.0
11:42:21.071,-1.0
11:42:21.278,-1.0
11:42:21.481,-1.0
11:42:21.687,-1.0
11:42:21.892,-1.0
11:42:22.096,-1.0
11:42:22.300,-1.0
11:42:22.506,-1.0
11:42:22.710,-1.0
11:42:22.915,-1.0
11:42:23.120,-1.0
11:42:23.325,-1.0
11:42:23.527,-1.0
11:42:23.731,-1.0
11:42:23.934,-1.0
11:42:24.137,-1.0
11:42:24.341,-1.0
11:42:24.551,-1.0
11:42:24.756,-1.0
11:42:24.962,-1.0
11:42:25.168,-1.0
11:42:25.370,-1.0
11:42:25.574,-1.0
11:42:25.777,-1.0
11:42:25.982,-1.0
11:42:26.189,-1.0
11:42:26.392,-1.0
11:42:26.600,-1.0
11:42:26.821,-1.0
11:42:27.026,-1.0
11:42:27.233,-1.0
11:42:27.435,-1.0
11:42:27.639,-1.0
11:42:27.844,-1.0
11:42:28.046,-1.0
11:42:28.255,-1.0
11:42:28.458,1.0
11:42:28.661,1.0
11:42:28.866,1.0
11:42:29.069,1.0
11:42:29.272,1.0
11:42:29.477,1.0
11:42:29.680,1.0
11:42:29.886,1.0
11:42:30.096,1.0
11:42:30.299,1.0
11:42:30.501,1.0
11:42:30.705,1.0
11:42:30.910,-1.0
11:42:31.122,-1.0
11:42:31.329,-1.0
11:42:31.535,-1.0
11:42:31.737,-1.0
11:42:31.943,-1.0
11:42:32.145,-1.0
11:42:32.348,-1.0
11:42:32.556,-1.0
11:42:32.760,-1.0
11:42:32.970,-1.0
11:42:33.177,-1.0
11:42:33.379,-1.0
11:42:33.583,-1.0
11:42:33.789,-1.0
11:42:33.999,-1.0
11:42:34.212,-1.0
11:42:34.416,-1.0
11:42:34.619,-1.0
11:42:34.825,-1.0
11:42:35.031,-1.0
11:42:35.235,-1.0
11:42:35.440,-1.0
11:42:35.644,-1.0
11:42:35.856,-1.0
11:42:36.066,-1.0
11:42:36.270,-1.0
11:42:36.481,-1.0
11:42:36.693,-1.0
11:42:36.898,-1.0
11:42:37.101,-1.0
11:42:37.311,-1.0
11:42:37.517,-1.0
11:42:37.724,-1.0
11:42:37.926,-1.0
11:42:38.128,-1.0
11:42:38.331,-1.0
11:42:38.543,-1.0
11:42:38.748,-1.0
11:42:38.950,-1.0
11:42:39.155,-1.0
11:42:39.360,-1.0
