time_stamp,RTL_ALT,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
04:50:01,3241.0,0.0,-12.666666666666666,-1030.6666666666667,-87.66666666666667,4.333333333333333,0.0,-35.3628344,149.1661202,63935.0,-1.5,-0.5,-26.5,RTL,0.004658463993109763,0.008815814275294542,1.0347212553024292,0.19017943739891052,-5.716108717024326e-06,-0.002552333287894726
04:50:03,3241.0,0.0,-19.5,-980.5,-398.5,1.0,3.0,-35.3628347,149.1661202,64855.0,0.0,-2.0,-46.0,RTL,-0.006812564563006163,0.008284950628876686,1.0343552827835083,-0.43997687101364136,-0.004534513223916292,0.0014243724290281534
04:50:04,200.0,0.0,-3.2,-962.2,-46.0,3.6,3.4,-35.36283482,149.16612038,65065.8,0.8,-1.8,-16.2,RTL,-0.004580260044895113,0.008665137365460396,1.0350264310836792,-0.049220888316631316,-0.00031610606238245963,0.0006868825992569327
04:50:05,200.0,0.0,-5.0,-998.0,389.0,4.0,4.0,-35.3628351,149.1661205,65106.0,3.0,-4.0,3.0,RTL,0.004837363492697477,0.0073898606933653355,1.035014033317566,0.3875173032283783,-0.00042211776599287987,0.0002935165539383888
04:50:07,200.0,-2.0,19.0,-1033.0,309.0,10.0,4.0,-35.3628343,149.1661199,65464.0,0.0,-2.0,-52.0,RTL,0.01419792976230383,0.005969244055449963,1.0344212055206299,0.30621761083602905,0.005511526484042406,0.0009100555907934904
04:50:08,200.0,-2.0,5.0,-996.25,87.0,3.75,4.25,-35.3628337,149.16611947500002,65823.5,-4.0,0.5,-56.75,RTL,0.01877776230685413,0.006479410571046174,1.0345259308815002,0.08441011235117912,-0.00011183886090293527,0.0013238131068646908
04:50:09,200.0,-1.0,-9.5,-957.0,-3.0,8.5,2.5,-35.36283315,149.16611915,66282.5,-10.0,4.5,-29.0,RTL,0.01933186687529087,0.007547272834926844,1.0347229838371277,-0.00551430881023407,0.004503792151808739,-0.00015540735330432653
04:50:11,200.0,0.5,4.5,-1013.0,112.0,5.5,4.5,-35.3628334,149.16611935,66402.0,-13.0,6.0,0.0,RTL,0.007743121590465307,0.0084819789044559,1.0349705815315247,0.10862916707992554,0.0016350712394341826,0.001191626419313252
04:50:12,130364.0,-0.25,2.25,-1041.25,42.5,5.75,5.0,-35.362833575,149.1661194,66512.5,-11.0,4.25,-28.25,RTL,0.008245039556641132,0.00791089201811701,1.0348581373691559,0.038923959247767925,0.0017845835536718369,0.002146415354218334
04:50:13,130364.0,0.0,13.0,-1013.0,237.0,6.0,3.5,-35.36283345,149.16611935,66960.5,-11.5,4.5,-53.0,RTL,0.014962097009023031,0.007917727343738079,1.0345669587453206,0.2772570724288623,0.001747776133318742,0.0004868843437482913
