,A.RTL3
17:13:41.192,-0.062
17:13:41.393,-0.062
17:13:41.598,-0.062
17:13:41.799,-0.062
17:13:42.003,-0.062
17:13:42.204,-0.062
17:13:42.406,-0.062
17:13:42.607,-0.062
17:13:42.810,-0.077
17:13:46.387,-0.012
17:13:46.588,-0.012
17:13:46.792,-0.012
17:13:46.994,-0.012
17:13:47.196,-0.012
17:13:47.398,-0.012
17:13:47.599,-0.012
17:13:47.800,-0.012
17:13:48.002,-0.012
17:13:48.206,-0.083
17:13:48.409,-0.095
17:13:48.611,-0.095
17:13:48.813,-0.095
17:13:49.016,-0.095
17:13:49.217,-0.095
17:13:49.419,-0.095
17:13:49.621,-0.095
17:13:49.823,-0.095
17:13:50.024,-0.095
17:13:50.226,-0.039
17:13:50.430,-0.104
17:13:50.631,-0.104
17:13:50.833,-0.104
17:13:51.035,-0.104
17:13:51.238,-0.104
17:13:51.439,-0.104
17:13:51.641,-0.104
17:13:51.842,-0.104
17:13:52.044,-0.104
17:13:52.245,-0.104
17:13:52.447,-0.097
17:13:52.649,-0.126
17:13:52.853,-0.126
17:13:53.056,-0.126
17:13:53.258,-0.126
17:13:53.460,-0.126
17:13:53.663,-0.126
17:13:53.864,-0.126
17:13:54.067,-0.126
17:13:54.270,-0.111
17:13:54.479,-0.128
17:13:54.683,-0.128
17:13:54.890,-0.128
17:13:55.093,-0.128
17:13:55.299,-0.128
17:13:55.502,-0.128
17:13:55.704,-0.128
17:13:55.905,-0.128
17:13:56.114,-0.128
17:13:56.317,-0.128
17:13:56.520,-0.128
17:13:56.723,-0.112
17:13:56.926,-0.227
17:13:57.127,-0.227
17:13:57.328,-0.227
17:13:57.530,-0.227
17:13:57.735,-0.227
17:13:57.938,-0.227
17:13:58.140,-0.227
17:13:58.341,-0.227
17:13:58.544,-0.227
17:13:58.745,-0.227
17:13:58.946,-0.414
17:13:59.147,-0.259
17:13:59.351,-0.259
17:13:59.554,-0.259
17:13:59.755,-0.259
17:13:59.957,-0.259
17:14:00.158,-0.259
17:14:00.360,-0.259
17:14:00.562,-0.259
17:14:00.764,-0.259
17:14:00.965,-0.168
17:14:01.168,-0.227
17:14:01.369,-0.227
17:14:01.571,-0.227
17:14:01.773,-0.227
17:14:01.975,-0.227
17:14:02.178,-0.227
17:14:02.380,-0.227
17:14:02.585,-0.227
17:14:02.790,-0.162
17:14:02.992,-0.318
17:14:03.195,-0.318
17:14:03.396,-0.318
17:14:03.598,-0.318
17:14:03.800,-0.318
17:14:04.002,-0.318
17:14:04.205,-0.318
17:14:04.407,-0.318
17:14:04.610,-0.318
17:14:04.813,-0.318
17:14:05.017,-0.432
17:14:05.219,-0.489
17:14:05.421,-0.489
17:14:05.623,-0.489
17:14:05.827,-0.489
17:14:06.028,-0.489
17:14:06.229,-0.489
17:14:06.431,-0.489
17:14:06.633,-0.489
17:14:06.836,-0.489
17:14:07.039,-0.489
17:14:07.242,-0.559
17:14:07.443,-0.829
17:14:07.644,-0.829
17:14:07.848,-0.829
17:14:08.050,-0.829
17:14:08.256,-0.829
17:14:08.458,-0.829
17:14:08.661,-0.829
17:14:08.865,-0.992
17:14:09.067,-0.992
17:14:09.270,-0.992
17:14:09.472,-0.992
17:14:09.674,-0.992
17:14:09.875,-0.992
17:14:10.080,-0.992
17:14:10.289,-1.0
17:14:10.491,-1.0
17:14:10.696,-1.0
17:14:10.899,-1.0
