time_stamp,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT
17:36:45,RTL,-0.00589034310542047,0.0007952408001680548,0.9442444841066996,-0.45576413239662844,-0.018204152584075928,-0.006085360112289588,-0.5,-15.0,-992.0,-371.5,-11.0,-3.0,-35.3632646,149.16523329999998,49991.333333333336,0.3333333333333333,0.0,-0.3333333333333333,1500.0
17:36:47,RTL,-0.012217773124575615,0.003359262365847826,0.9353208243846893,0.44487563520669937,0.008053930243477225,0.0001401147455908358,-0.5,29.0,-1005.5,448.5,10.0,2.0,-35.3632644,149.16523560000002,49996.0,7.5,3.5,0.0,1500.0
17:36:51,RTL,0.011644888203591108,0.00014107496826909482,0.9224545359611511,0.3293205052614212,0.00119283318053931,0.0025464529171586037,-2.3333333333333335,-14.666666666666666,-928.6666666666666,454.0,2.0,1.6666666666666667,-35.3632634,149.165238,49341.5,13.0,-10.0,81.0,1500.0
17:37:00,RTL,-0.013212144995729128,0.003161287090430657,0.9095987876256307,-0.38155145446459454,-3.427088571091493e-05,-0.01499800244346261,0.3333333333333333,-57.333333333333336,-961.0,-390.3333333333333,2.0,-12.666666666666666,-35.36326373333333,149.16523913333336,43288.0,13.333333333333334,-12.0,95.66666666666667,1500.0
17:37:02,RTL,-0.0029194881848525257,0.0004948953166604042,0.9057472229003907,0.9629269540309906,-0.0029841384617611765,-0.00013111471198499203,-0.5,10.166666666666666,-1004.0,861.1666666666666,0.3333333333333333,0.8333333333333334,-35.363264220000005,149.16523956,41386.6,18.4,-16.8,96.6,1500.0
17:37:04,RTL,0.02476048283278942,-0.003986370128889878,0.9026349087556204,1.3705844680468242,-0.0003896162185507516,-0.0005811371568900844,-2.3333333333333335,61.5,-1003.0,1369.8333333333333,2.0,1.3333333333333333,-35.3632627,149.1652378,39583.333333333336,10.5,-9.833333333333334,91.16666666666667,1500.0
17:37:06,RTL,0.009212851019886633,0.001629459009564016,0.9001741906007131,1.0751763582229614,0.003395044283630947,-0.0016137057294448216,-0.3333333333333333,71.0,-1021.0,1079.8333333333333,5.5,0.5,-35.3632614,149.16523683333332,37456.333333333336,-6.166666666666667,5.5,93.66666666666667,1500.0
17:37:08,RTL,-0.004263515681183587,4.458338541250365e-05,0.8979932765165964,-0.6722280283768972,0.0004317237374683221,0.0012232977508877714,-0.3333333333333333,5.666666666666667,-996.6666666666666,-666.6666666666666,2.6666666666666665,3.1666666666666665,-35.36326105,149.16523656666666,35520.333333333336,-8.5,5.333333333333333,98.0,1500.0
17:37:10,RTL,-0.011427919225146374,0.0021817152737639844,0.8960284491380056,-0.4607585519552231,0.002207025342310468,-0.003650147351436317,0.8333333333333334,11.833333333333334,-993.6666666666666,-454.1666666666667,4.333333333333333,-1.5,-35.3632611,149.16523666666666,33558.5,-11.5,8.166666666666666,96.83333333333333,1500.0
17:37:12,RTL,0.007001563557423651,-0.001438549836166203,0.8945053517818451,-0.6316211819648743,0.0033350151497870684,0.013804187066853046,-3.0,-65.0,-907.0,-640.0,5.5,15.5,-35.36326165,149.1652372,31111.0,-5.5,1.0,109.0,1500.0
17:37:14,RTL,0.05673298425972462,-8.63238237798214e-05,0.8925640285015106,1.3495725989341736,0.006537219509482384,0.0015597230521962047,-0.5,42.0,-1026.0,1348.5,9.0,3.0,-35.3632595,149.165235,28906.5,-21.5,16.0,97.0,1500.0
17:37:16,RTL,0.034228382259607316,0.004610871896147728,0.8915460109710693,1.3690861940383912,0.002480243751779199,0.0021430256776511667,0.3333333333333333,36.833333333333336,-1015.8333333333334,1318.5,4.5,3.1666666666666665,-35.36325966,149.16523548,27297.8,-26.2,19.2,99.0,1500.0
17:37:18,RTL,0.017760686576366425,0.0045484253981461125,0.8906689385573069,1.1499023636182149,0.0009289707134788235,0.0038956699815268316,2.3333333333333335,24.5,-1002.8333333333334,1148.1666666666667,3.6666666666666665,6.0,-35.36326105,149.16523685,25385.333333333332,-17.0,10.666666666666666,100.16666666666667,1500.0
17:37:20,RTL,0.013800869137048722,0.00014607433658966328,0.8891492486000061,0.05384366884827614,-0.00147864343598485,-0.005709474952891469,0.4,-35.2,-989.2,47.8,1.4,-3.2,-35.36326194,149.16523742,23322.4,-3.6,-0.2,99.4,1500.0
17:37:22,RTL,0.021318301558494568,-1.511836247421646e-05,0.8877561191717783,0.4731699712574482,-0.003215701629718145,-0.003151804752026995,-0.16666666666666666,-19.166666666666668,-988.0,467.6666666666667,-0.3333333333333333,-1.0,-35.36326165,149.16523700000002,21409.0,-4.833333333333333,2.1666666666666665,100.66666666666667,1500.0
17:37:24,RTL,0.025503575801849365,0.0004998756946103337,0.8875742852687836,1.3770577907562256,0.0018499295692890882,0.0014097429423903425,0.5,63.833333333333336,-1019.5,1381.5,4.333333333333333,3.1666666666666665,-35.36326106666667,149.16523636666668,19383.333333333332,-10.333333333333334,8.166666666666666,100.66666666666667,1500.0
17:37:26,RTL,-0.005806443785938124,0.005453234227995078,0.8867444296677908,1.3447847962379456,-0.00025621380579347414,-0.0009090319896737734,1.8333333333333333,64.5,-1012.0,1350.1666666666667,2.1666666666666665,1.1666666666666667,-35.36326248333333,149.16523808333335,17355.5,-4.333333333333333,3.1666666666666665,100.66666666666667,1500.0
17:37:28,RTL,0.016420492343604563,-0.0016559594543650747,0.8857033371925354,1.4967567443847656,-0.002010725834406912,-0.002014763979241252,-2.2,60.4,-1011.6,1497.8,1.0,-0.2,-35.36326287999999,149.16523832000001,15172.0,5.4,-8.4,111.8,1500.0
17:37:30,RTL,-0.015851528849452734,0.0025803525932133198,0.8861008584499359,-0.7669670581817627,-0.0014154667733237147,0.006912756711244583,0.5,-5.0,-1071.0,-760.5,1.0,9.0,-35.3632617,149.16523715,12638.0,-3.5,2.0,94.0,1500.0
17:37:37,RTL,-0.01560968835838139,0.0013901627656499234,0.8850068946679434,-0.2665693908929825,-0.0038091225239137807,-0.00032132165506482124,0.6666666666666666,-25.333333333333332,-1005.8333333333334,-268.1666666666667,-0.6666666666666666,1.6666666666666667,-35.36326329999999,149.16523881666666,10154.0,8.0,-9.166666666666666,31.166666666666668,1500.0
17:37:39,RTL,-0.0034142370956639447,-0.0004880507519070913,0.8848095536231995,0.5831965208053589,-0.00021231872960925102,0.002759318177898725,-0.3333333333333333,28.666666666666668,-998.6666666666666,585.0,2.3333333333333335,4.666666666666667,-35.36326326666667,149.16523853333334,9487.333333333334,10.166666666666666,-9.166666666666666,35.0,1500.0
