,RTL_ALT,EK2_WIND_PSCALE,EK3_WIND_PSCALE,H_COLYAW,ARMING_ACCTHRESH,MOT_BOOST_SCALE,ADSB_LIST_ALT,CHUTE_ALT_MIN,PILOT_TKOFF_ALT,PSC_POSZ_P,WPNAV_TER_MARGIN,EK2_CHECK_SCALE,EK3_CHECK_SCALE,LGR_DEPLOY_ALT,RNGFND1_WSP_MAVG,RNGFND2_WSP_MAVG,RNGFND3_WSP_MAVG,RNGFND4_WSP_MAVG,RNGFND5_WSP_MAVG,RNGFND6_WSP_MAVG
16:25:57.331,300000.0,1.1,0.7,10.1,0.25,3.9,0.0,2268.0,670.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:01.357,194582.0,0.1,0.0,10.1,0.25,3.6,0.0,32000.0,160.0,1.0,0.1,50.0,50.0,387.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:05.378,150858.0,0.7,0.8,-10.0,0.25,5.1,0.0,32000.0,380.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:09.404,155080.0,0.7,1.0,10.1,0.25,5.1,0.0,20683.0,1000.0,1.0,0.1,50.0,50.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:13.418,15480.0,0.6,2.0,-3.8,0.25,0.1,0.0,0.0,760.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:17.444,226208.0,0.5,2.0,2.0,0.25,0.0,0.0,15131.0,440.0,1.0,0.1,50.0,50.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:21.466,77340.0,0.2,0.4,7.1,0.25,2.0,0.0,15496.0,490.0,1.0,0.1,50.0,50.0,428.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:25.481,200.0,0.0,0.6,-9.7,0.25,1.9,0.0,11338.0,0.0,1.0,0.1,50.0,50.0,839.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:29.502,110458.0,0.5,0.8,4.0,0.25,3.9,0.0,0.0,20.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:33.015,200.0,0.7,0.0,2.8,0.25,0.0,0.0,25655.0,590.0,1.0,0.1,50.0,50.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:37.035,59924.0,0.0,0.4,1.1,0.25,2.5,0.0,32000.0,590.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:41.052,200.0,1.1,0.5,1.5,0.25,2.1,0.0,9936.0,210.0,1.0,0.1,50.0,50.0,759.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:45.092,94877.0,0.0,2.0,-10.0,0.25,3.7,0.0,32000.0,0.0,1.0,0.1,50.0,50.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:49.124,257314.0,0.9,2.0,-10.0,0.25,3.8,0.0,24151.0,80.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:53.151,47033.0,0.7,1.2,10.1,0.25,5.1,0.0,28758.0,390.0,1.0,0.1,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16:26:57.186,300000.0,0.4,1.5,-3.8,0.25,5.1,0.0,0.0,90.0,1.0,0.1,50.0,50.0,535.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:01.210,190695.0,1.1,0.4,7.8,0.25,1.9,0.0,0.0,0.0,1.0,0.1,50.0,50.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:05.235,143603.0,0.4,1.2,-1.7,0.25,5.1,0.0,0.0,970.0,1.0,0.1,50.0,50.0,898.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:09.263,137397.0,1.1,1.2,-10.0,0.25,0.1,0.0,24569.0,1000.0,1.0,0.1,50.0,50.0,709.0,0.0,0.0,0.0,0.0,0.0,0.0
16:27:13.279,200.0,0.0,1.6,-10.0,0.25,1.8,0.0,32000.0,870.0,1.0,0.1,50.0,50.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0
