time_stamp,lat,lon,relative_alt,vx,vy,vz,xacc,yacc,zacc,xgyro,ygyro,zgyro,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,RTL_ALT,MODE
16:36:57,-35.36312575,149.16534645000002,25817.5,-461.5,-285.0,0.0,106.5,76.0,-1005.5,247.0,-59.0,8.5,-0.04860296472907066,0.08674588054418564,0.5925324559211731,0.24716947972774506,-0.06069074757397175,0.007939732633531094,67847.0,RTL
16:36:59,-35.3632001,149.16528615,25857.5,-365.0,-224.0,1.0,85.5,73.5,-998.5,40.5,-57.5,28.0,-0.05816779285669327,-0.01049334229901433,0.595016747713089,0.039022013545036316,-0.05918535962700844,0.02715932857245207,67847.0,RTL
16:37:00,-35.363221775,149.1652685,25844.75,-296.25,-185.25,3.0,75.25,40.5,-1003.5,98.25,-52.0,-0.75,-0.04044169932603836,-0.05012748762965202,0.5979202538728714,0.09835629910230637,-0.05353682767599821,-0.0023686132626608014,251415.0,RTL
16:37:01,-35.3632476,149.16524705,25806.5,-167.0,-104.5,4.0,38.0,66.0,-1018.5,487.0,-9.0,24.5,-0.02624489087611437,-0.08214254677295685,0.5990163683891296,0.4856559634208679,-0.010708481073379517,0.023695764131844044,251415.0,RTL
16:37:03,-35.36326325,149.16523439999997,25770.5,-34.0,-16.0,0.5,7.5,-6.0,-996.5,139.0,15.5,-7.5,0.004144511243794113,-0.0403672493994236,0.5990438163280487,0.13947048038244247,0.014613602310419083,-0.009785495465621352,251415.0,RTL
16:37:04,-35.363264674999996,149.16523385,25772.0,-11.0,-3.25,0.25,2.0,-2.0,-1003.75,-161.0,23.75,1.0,-0.008493530680425465,-0.02693008678033948,0.5982552170753479,-0.1622370695695281,0.023292264435440302,-0.00041720511217135936,300000.0,RTL
16:37:05,-35.363265,149.165234,25783.5,0.0,1.5,0.0,0.0,-3.5,-993.0,-373.0,16.5,-1.5,-0.0023174515226855874,0.0029902916285209358,0.5984483063220978,-0.3745911195874214,0.01571592898108065,-0.0031992463627830148,300000.0,RTL
16:37:07,-35.3632645,149.1652344,25783.0,4.0,8.5,0.0,-2.0,15.0,-1005.5,89.0,5.5,-1.0,0.004311003489419818,-0.009182738605886698,0.5986035764217377,0.08747424185276031,0.004968418274074793,-0.0028215866768732667,300000.0,RTL
16:37:08,-35.3632639,149.16523485,25785.0,5.0,9.25,0.75,-1.5,-12.0,-998.25,-96.5,6.75,-0.75,0.009044825099408627,-0.005141057015862316,0.5980517417192459,-0.09698747470974922,0.006075427052564919,-0.0025417833821848035,104501.0,RTL
16:37:09,-35.36326305,149.16523560000002,25782.5,2.5,8.5,0.0,-1.0,0.5,-1009.0,322.0,2.5,-1.5,0.017017660662531853,-0.0012880201102234423,0.5979237258434296,0.3219997603446245,0.0015197321772575378,-0.0032707363716326654,104501.0,RTL
16:37:11,-35.3632628,149.1652376,25543.5,1.5,0.5,55.0,1.5,-44.5,-917.5,-116.0,1.5,-2.0,0.004609011113643646,0.001485824875999242,0.5973048210144043,-0.11572664976119995,0.0009045399783644825,-0.0034928418463096023,104501.0,RTL
16:37:12,-35.363262875000004,149.1652383,24943.25,2.5,-3.75,97.25,1.0,-30.0,-919.25,312.25,-0.5,-0.25,0.005890279542654753,0.0010226355443592183,0.5970383733510971,0.31410979479551315,-0.001609521365026012,-0.001969817210920155,198052.0,RTL
16:37:13,-35.36326305,149.16523875000001,23542.5,4.0,-8.5,107.5,0.5,66.0,-963.0,1497.0,2.0,5.5,0.011648465530015528,-0.0013585457927547395,0.5979979336261749,1.4964462518692017,0.0006405201274901628,0.004634909390006214,198052.0,RTL
16:37:15,-35.363263700000005,149.1652403,21440.5,11.0,-18.5,96.0,0.5,68.0,-999.0,994.5,1.5,1.0,-0.023401140235364437,-0.000649435372906737,0.5968102514743805,0.9933062493801117,0.0008990535279735923,-0.0005249856039881706,198052.0,RTL
16:37:16,-35.363263849999996,149.16524057499998,20682.5,13.0,-22.25,95.75,0.75,63.75,-1008.5,945.25,4.5,1.75,-0.018544013611972332,-0.0007397325862257276,0.5971684455871582,0.9441830217838287,0.0037143240333534777,-0.00022853445261716843,147396.0,RTL
16:37:17,-35.3632641,149.16524095,19407.0,16.0,-28.0,101.0,-2.0,67.5,-1033.5,896.0,2.0,0.0,-0.023110428359359503,-0.0043153108563274145,0.5974615812301636,0.8951591551303864,0.0014392664306797087,-0.0013495356542989612,147396.0,RTL
16:37:19,-35.3632633,149.16523925,17375.0,12.0,-20.0,101.5,-4.5,75.0,-996.5,748.0,3.5,2.0,-0.0016249397012870759,-0.007787829963490367,0.5964134335517883,0.747446596622467,0.0028476067818701267,0.0006644505774602294,147396.0,RTL
16:37:20,-35.36326270000001,149.165238075,16608.75,7.0,-12.75,98.75,-6.5,76.25,-995.75,875.75,-1.25,-1.75,0.008046144735999405,-0.009640949312597513,0.5960740149021149,0.8748686760663986,-0.00259799842024222,-0.00343230739235878,190389.0,RTL
16:37:21,-35.36326115,149.16523519999998,15338.5,-2.5,3.5,99.5,-6.5,48.5,-1016.5,140.0,4.0,-1.0,0.027934270910918713,-0.010409105569124222,0.5964995324611664,0.13874216750264168,0.0029820220661349595,-0.0031985912937670946,190389.0,RTL
16:37:23,-35.36326,149.16523395,13310.5,-19.0,32.0,96.5,6.0,-16.0,-1027.5,-824.5,8.0,10.5,-2.711266279220581e-05,0.0025248724268749356,0.5986645817756653,-0.825946182012558,0.0073468382470309734,0.008503501769155264,190389.0,RTL
16:37:24,-35.363260975,149.16523625000002,12539.75,-15.75,25.5,102.75,6.25,-27.5,-993.5,-1129.75,9.75,-9.75,-0.03505045361816883,0.007914469693787396,0.5985907018184662,-1.1310930401086807,0.00895231234608218,-0.011600065918173641,50304.0,RTL
16:37:25,-35.363263200000006,149.16524049999998,11424.5,1.5,-6.5,59.0,7.0,-27.5,-1059.5,-810.0,-3.0,-1.0,-0.056780681014060974,0.005716385785490274,0.5976293981075287,-0.810372531414032,-0.004670046269893646,-0.0025848818477243185,50304.0,RTL
16:37:27,-35.36326595,149.16524435000002,10855.0,29.0,-47.5,32.0,1.0,-38.5,-991.5,-823.0,-3.5,5.0,-0.06909257918596268,-0.003343254327774048,0.5965857207775116,-0.8214817941188812,-0.005212652962654829,0.003978480584919453,50304.0,RTL
16:37:28,-35.363266075,149.16524395,10627.5,33.0,-53.5,36.0,-2.5,30.5,-997.0,270.5,-7.25,3.0,-0.04540496738627553,-0.008714784635230899,0.5974594503641129,0.2714032679796219,-0.008862083544954658,0.0019995521870441735,300000.0,RTL
16:37:29,-35.36326475,149.16524105000002,10199.0,30.5,-46.0,38.5,-6.0,-18.5,-1012.5,-844.5,1.5,6.0,-0.012071328237652779,-0.01361476257443428,0.5973916053771973,-0.8430918455123901,0.00027854228392243385,0.00506159826181829,300000.0,RTL
16:37:31,-35.36326165,149.1652364,9481.5,5.5,-6.0,37.5,-2.5,-24.0,-990.5,-118.5,6.0,4.0,0.03642370365560055,-0.0064534530974924564,0.5978341102600098,-0.11486750841140747,0.004969483474269509,0.0029755539435427636,300000.0,RTL
16:37:32,-35.363261075,149.16523564999997,9223.5,-3.0,5.25,35.0,-0.75,-23.0,-998.75,-692.75,8.5,3.5,0.014002496143803,-0.0036780599621124566,0.5985151529312134,-0.6913226544857025,0.007423873874358833,0.0023496303765568882,200.0,RTL
16:37:33,-35.363261050000006,149.16523635,8796.5,-9.0,12.5,31.5,1.5,39.0,-1024.0,813.0,1.5,3.5,0.013094745576381683,0.0011425486009102315,0.5984514653682709,0.8151305317878723,0.0006631776923313737,0.0020834223832935095,200.0,RTL
16:37:35,-35.3632619,149.1652377,8753.0,-3.5,0.0,-4.5,0.5,-17.5,-997.0,-82.5,0.0,2.0,-0.00010564294643700123,-0.0019324608147144318,0.5975934267044067,-0.07939496636390686,-0.0011941631091758609,0.0011518593528307974,200.0,RTL
