time_stamp,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,lat,lon,relative_alt,vx,vy,vz,RTL_ALT,MODE
19:56:02,0.041209470480680466,-0.2671392560005188,-0.6269299387931824,0.021796535700559616,0.35881325602531433,0.0050484249368309975,-121.0,-54.0,-1075.0,23.0,359.0,6.0,-35.3628983,149.1648768,49874.0,407.0,-343.0,18.0,1500.0,AUTO
19:56:06,0.10012674331665039,0.07831046544015408,-0.6334675550460815,0.8005489408969879,0.1282301601022482,-0.012094523757696152,-102.0,-42.5,-981.5,798.0,129.0,-10.5,-35.36274935,149.16472655,50183.5,392.5,-302.5,-4.5,1500.0,AUTO
19:56:08,0.037609342485666275,-0.20435906201601028,-0.6422295570373535,0.07665859907865524,-0.08883627597242594,-0.0005340841598808765,-77.5,-47.0,-1007.5,76.0,-88.0,1.0,-35.3626938,149.16467325,49932.5,289.0,-218.5,13.5,1500.0,AUTO
19:56:10,0.047829944640398026,-0.23653006553649902,-0.6518438458442688,0.22750045359134674,0.013899160549044609,-0.013989013619720936,-80.0,-30.0,-1012.0,230.0,14.0,-13.0,-35.3626402,149.1646193,49935.0,313.0,-244.0,13.0,1500.0,AUTO
19:56:12,0.058828894048929214,-0.06416794657707214,-0.6551710367202759,-0.43896374106407166,0.1753942221403122,0.00037370319478213787,-84.0,-66.0,-1016.0,-439.0,176.0,1.0,-35.3625836,149.1645616,49993.0,329.0,-248.0,-3.0,1500.0,AUTO
19:56:14,0.04584395761291186,0.11131960650285085,-0.6496928731600443,-0.6070653597513834,-0.09561542918284734,0.024551518571873505,-36.666666666666664,-68.0,-994.0,-609.0,-94.66666666666667,24.666666666666668,-35.3625442,149.16452283333334,50053.333333333336,162.66666666666666,-104.0,3.3333333333333335,1500.0,AUTO
19:56:16,0.01381450123153627,0.026661954674636945,-0.6557661990324656,0.16899549774825573,0.03729692993996044,-0.00048129163527240354,-19.0,-5.833333333333333,-1003.5,171.83333333333334,37.833333333333336,0.5,-35.36252835,149.16450956666668,49985.833333333336,84.33333333333333,-49.666666666666664,0.5,1500.0,AUTO
19:56:18,-0.0042198795708827674,0.01457096403464675,-0.6595696061849594,-0.35351237282156944,-0.029962245374917984,-0.0005465861322591081,0.0,-11.6,-998.8,-148.0,-27.8,0.0,-35.36252155,149.16450402499999,49999.75,2.75,-1.0,0.0,1500.0,AUTO
19:56:22,0.00037915585562586784,0.02720990777015686,-0.6646191477775574,-0.41248074794809025,0.02410357336824139,-0.0028295081768495343,-0.3333333333333333,-19.333333333333332,-1002.6666666666666,-412.0,24.0,-1.6666666666666667,-35.36251933333333,149.16450313333334,50014.333333333336,-5.666666666666667,0.0,0.3333333333333333,1500.0,RTL
19:56:24,-0.0009684909891802818,0.07081790268421173,-0.6657196283340454,-0.4558035880327225,0.034323448315262794,0.008210307685658336,17.0,1.5,-999.5,-451.0,34.5,9.0,-35.3625265,149.16450815,50008.0,-63.0,63.5,0.0,1500.0,RTL
19:56:26,-0.02491653524339199,0.1556946337223053,-0.6677097082138062,0.3860904574394226,0.014487465610727668,0.0005704779177904129,53.5,48.0,-1007.5,389.0,15.0,1.5,-35.3625488,149.1645314,49982.5,-185.0,170.0,2.0,1500.0,RTL
