time_stamp,MODE,lat,lon,relative_alt,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,xacc,yacc,zacc,xgyro,ygyro,zgyro,vx,vy,vz,chan4_raw,RTL_ALT
14:28:10.870,AUTO,-35.3629767,149.165822,50005,0.06283658742904663,-0.11895909160375595,1.0048505067825317,-0.3018234372138977,-0.018078116700053215,-0.009482617489993572,-109,-69,-982,-301,-16,-9,318,503,1,1500,1500.0
14:28:11.071,AUTO,-35.3629696,149.1658358,50002,0.060089945793151855,-0.1235082745552063,0.9984975457191467,-0.09012678265571594,-0.0479237362742424,-0.07044006139039993,-118,-75,-986,-86,-45,-69,320,501,1,1500,1500.0
14:28:11.272,AUTO,-35.3629696,149.1658358,50002,0.060089945793151855,-0.1235082745552063,0.9984975457191467,-0.09012678265571594,-0.0479237362742424,-0.07044006139039993,-118,-75,-986,-86,-45,-69,320,501,1,1500,1500.0
14:28:11.473,AUTO,-35.3629696,149.1658358,50002,0.060089945793151855,-0.1235082745552063,0.9984975457191467,-0.09012678265571594,-0.0479237362742424,-0.07044006139039993,-118,-75,-986,-86,-45,-69,320,501,1,1500,1500.0
14:28:11.674,AUTO,-35.3629696,149.1658358,50002,0.060089945793151855,-0.1235082745552063,0.9984975457191467,-0.09012678265571594,-0.0479237362742424,-0.07044006139039993,-118,-75,-986,-86,-45,-69,320,501,1,1500,1500.0
14:28:11.876,AUTO,-35.3629696,149.1658358,50002,0.060089945793151855,-0.1235082745552063,0.9984975457191467,-0.09012678265571594,-0.0479237362742424,-0.07044006139039993,-118,-75,-986,-86,-45,-69,320,501,1,1500,1500.0
14:28:12.078,AUTO,-35.36294,149.1658917,49953,0.07120880484580994,-0.15431152284145355,0.9884071946144104,0.1635093092918396,0.05077679082751274,-0.022685518488287926,-128,-59,-1010,165,52,-22,340,524,2,1500,1500.0
14:28:12.278,AUTO,-35.3629322,149.1659063,49948,0.07445857673883438,-0.1456098109483719,0.9870678186416626,-0.036105845123529434,0.0037747849710285664,0.014315098524093628,-128,-86,-1002,-35,5,15,346,529,-1,1500,1500.0
14:28:12.479,AUTO,-35.3629244,149.1659209,49949,0.07373503595590591,-0.14271856844425201,0.9857161045074463,-0.1321106106042862,0.03400769457221031,-0.008516039699316025,-139,-84,-1003,-130,35,-7,349,535,-2,1500,1500.0
14:28:12.681,AUTO,-35.3629244,149.1659209,49949,0.07373503595590591,-0.14271856844425201,0.9857161045074463,-0.1321106106042862,0.03400769457221031,-0.008516039699316025,-139,-84,-1003,-130,35,-7,349,535,-2,1500,1500.0
14:28:12.882,AUTO,-35.3629165,149.1659356,49953,0.07679928839206696,-0.14546598494052887,0.984379768371582,0.15475806593894958,-0.024224869906902313,-0.014673464931547642,-127,-69,-990,157,-22,-14,352,538,-3,1500,1500.0
14:28:13.083,AUTO,-35.3629085,149.1659505,49955,0.07735536247491837,-0.1427895873785019,0.9839932918548584,0.04985556751489639,0.01629723235964775,0.024506686255335808,-121,-99,-999,50,18,25,356,543,-2,1500,1500.0
14:28:13.284,AUTO,-35.3629085,149.1659505,49955,0.07735536247491837,-0.1427895873785019,0.9839932918548584,0.04985556751489639,0.01629723235964775,0.024506686255335808,-121,-99,-999,50,18,25,356,543,-2,1500,1500.0
14:28:13.485,AUTO,-35.3629085,149.1659505,49955,0.07735536247491837,-0.1427895873785019,0.9839932918548584,0.04985556751489639,0.01629723235964775,0.024506686255335808,-121,-99,-999,50,18,25,356,543,-2,1500,1500.0
14:28:13.688,AUTO,-35.3629085,149.1659505,49955,0.07735536247491837,-0.1427895873785019,0.9839932918548584,0.04985556751489639,0.01629723235964775,0.024506686255335808,-121,-99,-999,50,18,25,356,543,-2,1500,1500.0
14:28:13.890,AUTO,-35.3628842,149.1659956,49965,0.13564807176589966,-0.10888484865427017,0.5500245094299316,0.11431681364774704,-0.010243529453873634,-0.7843060493469238,-79,-111,-981,115,-8,-783,364,554,0,1119,1500.0
14:28:14.090,AUTO,-35.3628759,149.1660108,49964,0.15097424387931824,-0.0862746387720108,0.36126527190208435,-0.09145111590623856,-0.008806437253952026,-0.7374099493026733,-57,-162,-986,-90,-6,-736,369,558,0,1119,1500.0
