time_stamp,xacc,yacc,zacc,xgyro,ygyro,zgyro,RTL_ALT,MODE,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed,lat,lon,relative_alt,vx,vy,vz
20:05:39,-1.3333333333333333,-2.3333333333333335,-968.5,-16.833333333333332,22.166666666666668,-25.0,1500.0,AUTO,0.03380182757973671,-0.04094219176719586,0.28954020142555237,-0.017841188237071037,0.02143063109057645,-0.025748823458949726,-35.36326448333333,149.16523275,49415.666666666664,4.166666666666667,0.16666666666666666,-60.333333333333336
20:05:43,-4.833333333333333,30.666666666666668,-1019.0,419.5,-31.5,-18.166666666666668,1500.0,AUTO,-0.019269826045880716,-0.028422669197122257,0.18241911381483078,0.4175434509913127,-0.03316339881469806,-0.01890814599270622,-35.363261,149.16523615,49994.333333333336,7.833333333333333,-22.5,3.1666666666666665
20:05:45,-27.166666666666668,-13.833333333333334,-1002.3333333333334,-65.33333333333333,-31.333333333333332,-445.5,1500.0,AUTO,0.0012762163726923366,-0.10593448579311371,-0.5334746042887369,-0.06661973148584366,-0.03298088535666466,-0.44613147744288045,-35.36325358333333,149.16522353333332,49961.833333333336,90.33333333333333,-85.83333333333333,-1.1666666666666667
20:05:47,-64.83333333333333,-27.833333333333332,-1001.0,8.666666666666666,-30.5,-9.0,1500.0,AUTO,0.016352873295545578,-0.16017848004897436,-0.6792418956756592,0.007131497065226237,-0.03159588699539503,-0.009881451066272954,-35.363226,149.16518925000003,49946.166666666664,215.33333333333334,-217.5,0.3333333333333333
20:05:49,-94.16666666666667,-36.5,-991.5,74.66666666666667,-71.83333333333333,-4.0,1500.0,AUTO,0.040522256245215736,-0.1901837314168612,-0.7020359834035238,0.0730936552087466,-0.07292562661071618,-0.004766188785045718,-35.363178033333334,149.16512828333336,49948.166666666664,315.5,-332.0,4.166666666666667
20:05:51,-101.66666666666667,-61.0,-974.1666666666666,72.16666666666667,39.166666666666664,7.333333333333333,1500.0,AUTO,0.08384570106863976,-0.018579903213928144,-0.7126757105191549,0.07193006450931232,0.03810637816786766,0.006947638855005304,-35.3631151,149.1650461,50070.0,347.8333333333333,-351.8333333333333,-10.166666666666666
20:05:53,-62.5,-23.833333333333332,-988.8333333333334,41.0,-171.83333333333334,-24.5,1500.0,AUTO,0.04349602169046799,-0.0586869993324702,-0.7215210298697153,0.037182806680599846,-0.17316873961438736,-0.02514320674041907,-35.36306556666667,149.16498441666667,50034.333333333336,229.5,-212.0,10.666666666666666
20:05:59,-103.83333333333333,-81.0,-981.8333333333334,-38.5,165.0,-0.3333333333333333,1500.0,AUTO,0.08778166150053342,0.03615819942206144,-0.7535194158554077,-0.03907570615410805,0.16468085100253424,-0.0014159434164563816,-35.36289365,149.16476373333333,50077.666666666664,368.5,-363.6666666666667,-14.5
20:06:09,-2.2857142857142856,-8.142857142857142,-1000.0,-54.714285714285715,-41.142857142857146,2.4285714285714284,1500.0,AUTO,-0.013124293315091304,0.038891843387058804,-0.7697010721479144,-0.0570753418973514,-0.0424576210124152,0.002050832753801452,-35.36280562857143,149.16465927142855,49983.57142857143,5.0,-23.428571428571427,-0.2857142857142857
20:06:12,-4.25,14.5,-1006.5,31.5,-4.5,-4.75,1500.0,RTL,0.005469673313200474,-0.025914580871661503,-0.7743625243504842,0.24553011854489645,0.003168674806753794,-0.005306519800797105,-35.3628058,149.16465870000002,49988.0,-3.3333333333333335,-24.666666666666668,-0.6666666666666666
20:06:14,-2.5,1.6666666666666667,-1003.0,19.333333333333332,13.166666666666666,-1.8333333333333333,1500.0,RTL,0.0053298521670512855,0.014290010090917349,-0.7788213690121969,0.017149413625399273,0.012397584854625165,-0.0028272309767392776,-35.36280503333334,149.1646560833333,49989.666666666664,2.3333333333333335,-10.0,0.16666666666666666
20:06:16,11.0,25.0,-1001.0,510.0,26.5,0.0,1500.0,RTL,0.00846578972414136,0.0567809734493494,-0.7822747826576233,0.5093723684549332,0.026471728459000587,-0.0006655314937233925,-35.3628087,149.16465929999998,49979.5,-39.5,48.0,0.0
20:06:17,23.75,7.75,-1004.5,-308.5,42.75,1.5,1500.0,RTL,-0.010077896469738334,0.09518189169466496,-0.7838039547204971,-0.31140248104929924,0.04238881450146437,0.0008193391840904951,-35.36281565,149.16466782499998,49973.0,-81.0,97.0,0.0
20:06:21,92.66666666666667,61.333333333333336,-1011.1666666666666,20.0,-59.166666666666664,-8.666666666666666,1500.0,RTL,-0.053635297964016594,0.17377395555377007,-0.7886031270027161,0.01772886359443267,-0.05999518123765787,-0.009418009120660523,-35.36288175,149.16475381666666,49927.666666666664,-313.3333333333333,339.6666666666667,0.0
20:06:23,116.4,68.0,-1022.8,-24.8,-56.8,19.2,1500.0,RTL,-0.04943147338926792,0.23933582305908202,-0.7898360610008239,-0.027507147192955016,-0.05737714320421219,0.0186200100928545,-35.362950579999996,149.1648416,49894.8,-412.4,438.0,15.0
20:06:25,103.33333333333333,85.83333333333333,-963.5,253.5,-5.333333333333333,20.833333333333332,1500.0,RTL,-0.07300543040037155,-0.012768535688519479,-0.7716933846473694,0.2664715379476547,-0.04606812782585621,0.019551793299615382,-35.36302604,149.16493744,50172.6,-371.0,374.2,-2.8
