,A.ALT_HOLD1
13:32:43.404,1
13:32:43.605,1
13:32:43.807,1
13:32:44.008,1
13:32:44.209,1
13:32:44.410,1
13:32:44.611,1
13:32:44.812,1
13:32:45.014,1
13:32:45.216,1
13:32:45.417,1
13:32:45.618,1
13:32:45.819,1
13:32:46.020,1
13:32:46.221,1
13:32:46.421,1
13:32:46.622,1
13:32:46.824,1
13:32:47.026,1
13:32:47.227,1
13:32:47.428,1
13:32:47.629,1
13:32:47.830,1
13:32:48.031,1
13:32:48.232,1
13:32:48.433,1
13:32:48.634,1
13:32:48.835,1
13:32:49.036,1
13:32:49.238,1
13:32:49.438,1
13:32:49.640,1
13:32:49.840,1
13:32:50.042,1
13:32:50.243,1
13:32:50.444,1
13:32:50.645,1
13:32:50.847,1
13:32:51.048,1
13:32:51.250,1
13:32:51.450,1
13:32:51.651,1
13:32:51.852,1
13:32:52.053,1
13:32:52.254,-1
13:32:52.455,1
13:32:52.656,1
13:32:52.857,1
13:32:53.058,1
13:32:53.259,1
13:32:53.460,1
13:32:53.661,1
13:32:53.862,1
13:32:54.063,1
13:32:54.264,1
13:32:54.465,1
13:32:54.666,1
13:32:54.867,1
13:32:55.069,1
13:32:55.271,1
13:32:55.472,1
13:32:55.673,1
13:32:55.873,1
13:32:56.074,1
13:32:56.275,1
13:32:56.477,1
13:32:56.678,1
13:32:56.879,1
13:32:57.081,1
13:32:57.282,1
13:32:57.483,1
13:32:57.685,1
13:32:57.886,1
13:32:58.086,1
13:32:58.287,1
13:32:58.488,1
13:32:58.689,1
13:32:58.890,1
13:32:59.091,1
13:32:59.292,1
13:32:59.494,1
13:32:59.694,1
13:32:59.895,1
13:33:00.096,1
13:33:00.297,1
13:33:00.498,1
13:33:00.699,1
13:33:00.900,1
13:33:01.101,1
13:33:01.302,1
13:33:01.503,1
13:33:01.704,1
13:33:01.905,1
13:33:02.106,1
13:33:02.306,1
13:33:02.507,1
13:33:02.708,1
13:33:02.909,1
13:33:03.110,1
13:33:03.311,1
13:33:03.512,1
13:33:03.713,1
13:33:03.914,-1
13:33:04.115,1
13:33:04.317,1
13:33:04.518,1
13:33:04.719,1
13:33:04.920,1
13:33:05.121,1
13:33:05.323,1
13:33:05.524,-1
13:33:05.725,1
13:33:05.925,1
13:33:06.126,1
13:33:06.327,1
13:33:06.528,1
13:33:06.730,1
13:33:06.931,1
13:33:07.133,1
13:33:07.334,1
13:33:07.535,1
13:33:07.735,1
13:33:07.936,1
13:33:08.137,1
13:33:08.338,1
13:33:08.539,1
13:33:08.741,1
13:33:08.942,1
13:33:09.144,1
13:33:09.347,1
13:33:09.548,1
13:33:09.749,1
13:33:09.950,1
13:33:10.151,1
13:33:10.352,1
13:33:10.553,1
13:33:10.754,1
13:33:10.956,1
13:33:11.157,1
13:33:11.359,1
