,A.BRAKE1
20:38:26.000,-1
20:38:26.202,-1
20:38:26.406,-1
20:38:26.610,-1
20:38:26.814,-1
20:38:27.016,-1
20:38:27.218,-1
20:38:27.421,-1
20:38:27.624,-1
20:38:27.825,-1
20:38:28.030,-1
20:38:28.231,-1
20:38:28.440,-1
20:38:28.651,-1
20:38:28.853,-1
20:38:29.055,-1
20:38:29.259,-1
20:38:29.461,-1
20:38:29.662,-1
20:38:29.865,-1
20:38:30.066,-1
20:38:30.268,-1
20:38:30.470,-1
20:38:30.673,-1
20:38:30.879,-1
20:38:31.082,-1
20:38:31.284,-1
20:38:31.487,-1
20:38:31.690,-1
20:38:31.892,-1
20:38:32.094,-1
20:38:32.298,-1
20:38:32.503,-1
20:38:32.708,-1
20:38:32.912,-1
20:38:33.113,-1
20:38:33.316,-1
20:38:33.519,-1
20:38:33.720,-1
20:38:33.922,-1
20:38:34.127,-1
20:38:34.331,-1
20:38:34.536,-1
20:38:34.737,-1
20:38:34.941,-1
20:38:35.151,-1
20:38:35.356,-1
20:38:35.558,-1
20:38:35.759,-1
20:38:35.960,-1
20:38:36.162,-1
20:38:36.365,-1
20:38:36.569,-1
20:38:36.773,-1
20:38:36.976,-1
20:38:37.180,-1
20:38:37.382,-1
20:38:37.584,-1
20:38:37.785,-1
20:38:37.987,-1
20:38:38.189,-1
20:38:38.390,-1
20:38:38.592,-1
20:38:38.799,-1
20:38:39.002,-1
20:38:39.206,-1
20:38:39.408,-1
20:38:39.610,-1
20:38:39.811,-1
20:38:40.013,-1
20:38:40.217,-1
20:38:40.418,-1
20:38:40.622,-1
20:38:40.824,-1
20:38:41.025,-1
20:38:41.227,-1
20:38:41.432,-1
20:38:41.636,-1
20:38:41.838,-1
20:38:42.040,-1
20:38:42.243,-1
20:38:42.445,-1
20:38:42.647,-1
20:38:42.849,-1
20:38:43.052,-1
20:38:43.254,-1
20:38:43.458,-1
20:38:43.661,1
20:38:43.863,1
20:38:44.069,1
20:38:44.272,1
20:38:44.474,1
20:38:44.676,1
20:38:44.877,1
20:38:45.079,1
20:38:45.280,1
20:38:45.483,1
20:38:45.685,-1
20:38:45.886,-1
20:38:46.092,-1
20:38:46.294,-1
20:38:46.497,-1
20:38:46.701,-1
20:38:46.904,-1
20:38:47.107,-1
20:38:47.308,-1
20:38:47.510,-1
20:38:47.712,-1
20:38:47.913,-1
20:38:48.115,-1
20:38:48.317,-1
20:38:48.518,-1
20:38:48.720,-1
20:38:48.922,-1
20:38:49.123,-1
20:38:49.326,-1
20:38:49.529,-1
20:38:49.730,-1
20:38:49.931,-1
20:38:50.134,-1
20:38:50.337,-1
20:38:50.538,-1
20:38:50.740,-1
20:38:50.942,-1
20:38:51.149,-1
20:38:51.352,-1
20:38:51.555,-1
20:38:51.758,-1
20:38:51.959,-1
20:38:52.160,-1
20:38:52.361,-1
20:38:52.563,-1
20:38:52.766,-1
20:38:52.968,-1
20:38:53.170,-1
20:38:53.373,-1
20:38:53.575,-1
20:38:53.777,-1
20:38:53.980,-1
20:38:54.182,-1
20:38:54.383,-1
20:38:54.588,-1
20:38:54.792,-1
20:38:54.994,-1
20:38:55.197,-1
20:38:55.398,-1
20:38:57.905,-1
20:38:58.107,-1
20:38:58.308,-1
20:38:58.513,-1
20:38:58.715,-1
20:38:58.917,-1
20:38:59.120,-1
20:38:59.322,-1
20:38:59.525,-1
20:38:59.727,-1
20:38:59.929,-1
20:39:00.131,-1
20:39:00.332,-1
20:39:00.534,-1
20:39:00.736,-1
20:39:00.939,-1
20:39:01.143,-1
20:39:01.345,-1
20:39:01.547,-1
20:39:01.748,-1
20:39:01.950,-1
20:39:02.151,-1
20:39:02.353,-1
20:39:02.555,-1
20:39:02.760,-1
20:39:02.962,-1
20:39:03.165,-1
20:39:03.366,-1
20:39:03.567,-1
20:39:03.769,-1
20:39:03.971,-1
20:39:04.172,-1
20:39:04.373,-1
20:39:04.575,-1
20:39:04.776,-1
20:39:04.980,-1
20:39:05.182,-1
20:39:05.384,-1
20:39:05.587,-1
20:39:05.788,-1
20:39:05.994,-1
20:39:06.198,-1
20:39:06.403,-1
20:39:06.607,-1
20:39:06.809,-1
20:39:07.013,-1
20:39:07.219,-1
20:39:07.421,-1
20:39:07.623,-1
20:39:07.826,-1
20:39:08.028,-1
20:39:08.230,-1
20:39:08.431,-1
20:39:08.632,-1
20:39:08.833,-1
20:39:09.039,-1
20:39:09.240,-1
20:39:09.444,-1
20:39:09.646,-1
20:39:09.852,-1
20:39:10.053,1
20:39:10.255,1
20:39:10.457,1
20:39:10.659,1
20:39:10.863,1
20:39:11.066,1
20:39:11.267,1
20:39:11.469,1
20:39:11.671,1
20:39:11.874,1
20:39:12.075,-1
20:39:12.277,-1
20:39:12.480,-1
20:39:12.681,-1
20:39:12.886,-1
20:39:13.090,-1
20:39:13.294,-1
20:39:13.496,-1
20:39:13.698,-1
20:39:13.899,-1
20:39:14.100,-1
20:39:14.302,-1
20:39:14.505,-1
20:39:14.707,-1
20:39:14.911,-1
20:39:15.116,-1
20:39:15.318,-1
20:39:15.521,-1
20:39:15.723,-1
20:39:15.925,-1
20:39:16.126,-1
20:39:16.327,-1
20:39:16.530,-1
20:39:16.732,-1
20:39:16.934,-1
20:39:17.135,-1
20:39:17.341,-1
20:39:17.544,-1
20:39:17.746,-1
20:39:17.947,-1
20:39:18.150,-1
20:39:18.352,-1
20:39:18.554,-1
20:39:18.757,-1
20:39:18.958,-1
20:39:19.162,-1
20:39:19.367,-1
20:39:19.569,-1
20:39:19.770,-1
20:39:19.971,-1
20:39:20.173,-1
20:39:20.374,-1
20:39:20.576,-1
20:39:20.777,-1
20:39:20.979,-1
20:39:21.181,-1
20:39:21.382,-1
20:39:21.584,-1
20:39:21.786,-1
20:39:21.988,-1
20:39:22.190,-1
20:39:22.392,-1
20:39:22.594,-1
20:39:22.804,-1
20:39:23.007,-1
20:39:23.209,-1
20:39:23.412,-1
20:39:23.615,-1
20:39:23.817,-1
20:39:24.018,-1
20:39:24.219,-1
20:39:24.421,-1
20:39:24.622,-1
20:39:24.823,-1
20:39:25.025,-1
20:39:25.231,-1
20:39:25.433,-1
20:39:25.634,-1
20:39:25.839,-1
20:39:26.041,-1
20:39:26.243,-1
20:39:26.444,-1
20:39:26.645,-1
20:39:26.849,-1
20:39:27.056,-1
20:39:27.257,-1
20:39:27.461,-1
20:39:27.662,-1
20:39:27.864,-1
20:39:28.067,1
20:39:28.268,1
20:39:28.470,1
20:39:28.673,1
20:39:28.877,1
20:39:29.078,1
20:39:29.282,1
20:39:29.485,1
20:39:29.688,1
20:39:29.889,1
20:39:32.444,1
20:39:32.645,-1
20:39:32.850,-1
20:39:33.053,-1
20:39:33.257,-1
20:39:33.458,-1
20:39:33.660,-1
20:39:33.862,-1
20:39:34.065,-1
20:39:34.266,-1
20:39:34.467,-1
20:39:34.670,-1
20:39:34.875,-1
20:39:35.079,-1
20:39:35.284,-1
20:39:35.486,-1
20:39:35.688,-1
20:39:35.890,-1
20:39:36.096,-1
20:39:36.298,-1
20:39:36.499,-1
20:39:36.700,-1
20:39:36.902,-1
20:39:37.103,-1
20:39:37.305,-1
20:39:37.507,-1
20:39:37.708,-1
20:39:37.910,-1
20:39:38.112,-1
20:39:38.314,-1
20:39:38.515,-1
20:39:38.716,-1
20:39:38.919,-1
20:39:39.120,-1
20:39:39.322,-1
20:39:39.524,-1
20:39:39.728,-1
20:39:39.932,-1
20:39:40.136,-1
20:39:40.338,-1
20:39:40.539,-1
20:39:40.743,-1
20:39:40.944,-1
20:39:41.151,-1
20:39:41.358,-1
20:39:41.561,-1
20:39:41.765,-1
20:39:41.967,-1
20:39:42.171,-1
20:39:42.372,-1
20:39:42.573,-1
20:39:42.776,-1
20:39:42.980,-1
20:39:43.182,-1
20:39:43.383,-1
20:39:43.586,-1
20:39:43.788,-1
20:39:43.991,-1
20:39:44.194,-1
20:39:44.397,-1
20:39:44.599,-1
20:39:44.805,-1
20:39:45.008,-1
20:39:45.209,-1
20:39:45.410,-1
20:39:45.616,-1
20:39:45.817,-1
20:39:46.024,-1
20:39:46.226,-1
20:39:46.427,-1
20:39:46.628,-1
20:39:46.832,-1
20:39:47.036,-1
20:39:47.239,-1
20:39:47.442,-1
20:39:47.644,-1
20:39:47.845,-1
20:39:48.047,-1
20:39:48.250,-1
20:39:48.452,-1
20:39:48.653,-1
20:39:48.854,-1
20:39:49.056,-1
20:39:49.257,-1
20:39:49.462,-1
20:39:49.667,-1
20:39:49.869,-1
20:39:50.072,-1
20:39:50.286,-1
20:39:50.487,1
20:39:50.689,1
20:39:50.891,1
20:39:51.093,1
20:39:51.295,1
